100 2
5 -0.3307378 -0.97766733
72 -0.16441451 -0.98577577
66 0.018648319 -1.0098398
47 0.18136679 -1.0178454
57 -0.6034268 -0.9753456
56 -0.17893931 -0.981499
23 0.11306279 -1.0087129
61 0.4067387 -1.0302624
49 0.4461391 -1.0265948
46 -0.23664995 -0.99589884
41 -0.88865054 -0.97058326
21 -0.011090902 -0.9912152
79 -0.19586611 -0.9890245
15 -0.14256412 -0.9949204
14 0.27157122 -1.0198823
93 0.30313563 -1.0098583
62 -0.7529822 -0.9673181
98 -0.20113364 -0.9893645
45 -0.51533186 -0.9790736
8 -0.098023646 -1.0155232
95 0.27530056 -1.0209686
44 -0.14364333 -0.9964828
78 -0.23928879 -0.9780385
65 0.14901148 -0.9984765
82 -0.13518602 -0.9876787
94 -0.5374608 -0.98153865
63 -1.0667945 -0.9773488
53 -0.0038476319 -1.0167265
51 0.31319538 -1.0260739
54 0.09720187 -1.0180031
25 0.011668213 -0.9979698
0 -0.5472165 -0.9728085
85 0.5570002 -1.0534407
29 0.092698514 -0.9883765
99 0.2857879 -1.015296
75 0.43901485 -1.0241953
48 -0.5726179 -0.99169016
59 -0.1963596 -0.9800831
50 -0.06262425 -0.99934876
80 0.5019089 -1.0297629
16 -0.0024076966 -1.0094408
12 0.74695516 -1.0694418
83 0.2420082 -1.0109681
88 0.4477714 -1.0351249
38 0.5368913 -1.0349176
52 -0.37881052 -0.9609901
35 -0.31640378 -0.9971991
84 0.090586 -1.0278151
71 -0.08119492 -0.97812766
89 -0.31215504 -0.9697072
10 0.1155469 -0.98679465
92 -0.5393953 -0.9987253
36 0.30236754 -1.0142865
34 -0.5216028 -0.96759766
60 -0.752662 -0.9702596
91 0.16246772 -0.99417585
69 -0.2062617 -0.98563486
40 -0.3362652 -0.9822763
37 0.6461082 -1.0614337
3 0.0021586919 -0.9953921
58 -0.83108604 -0.98972934
22 0.38731048 -1.023918
13 0.0034635828 -0.99682796
70 -0.0037475098 -1.0100148
26 -0.089154415 -0.991471
30 -0.0022600344 -1.0233945
86 0.14954986 -1.0316913
87 -0.6169806 -0.9949587
74 0.12512273 -1.0358459
20 -0.19566634 -0.9906325
11 -0.35106653 -0.9760947
76 -0.31460208 -0.9727737
97 0.07127929 -1.0005528
19 -0.00025094987 -0.990394
6 -0.16392699 -0.9939059
33 -0.04872025 -0.9831525
18 0.48375586 -1.0259404
96 0.32005727 -1.0057777
90 0.20773244 -1.005579
55 -0.45677635 -0.97937804
27 0.041976392 -0.9880341
9 -0.16266772 -0.98363644
64 -0.1846641 -0.99084413
24 -0.9964398 -0.98138887
28 -0.7280091 -0.96172893
68 -0.65856 -0.9884451
67 0.44230115 -1.0152327
31 0.93883467 -1.0812684
32 0.8468333 -1.0826632
43 0.9187214 -1.0880301
42 -0.60375255 -0.9866036
1 0.47653532 -1.0309863
17 0.43834722 -1.0068359
7 0.2544289 -1.0019386
73 -0.4102276 -0.9705348
4 0.3864353 -1.0100789
81 -0.84829587 -0.95451933
2 -0.008248098 -0.96543956
39 -0.004843285 -0.9920382
77 -0.39238727 -0.9853419
