100 2
72 -0.8742012 0.29390678
5 -0.7853385 0.45145068
66 -0.91931665 0.18160059
49 -0.6522762 0.76547825
23 -0.803453 0.41602188
56 -0.6885589 0.68710744
47 -0.760407 0.5342671
98 -0.9242937 0.19849059
79 -0.9169884 0.21136363
61 -1.0374552 -0.023977598
15 -0.8504101 0.39653066
46 -0.96001065 0.11723088
45 -0.82043403 0.39508805
0 -0.7122009 0.649973
21 -0.9962544 0.03881207
57 -0.8122847 0.433439
54 -0.74304307 0.56608224
14 -0.87412745 0.33126578
44 -1.2498342 -0.45048618
62 -0.77020013 0.49926054
82 -0.9240906 0.19335327
95 -0.77056295 0.48897734
93 -1.0852836 -0.10946396
88 -0.5892271 0.9306419
41 -0.7634284 0.4920412
78 -0.7635148 0.51841795
75 -0.77823234 0.49267685
12 -0.6268227 0.83677185
80 -0.88923395 0.21747792
48 -1.0257128 -0.026255298
51 -1.0428709 -0.009105787
99 -0.80712646 0.3961325
53 -0.62812436 0.8049514
8 -0.81699467 0.38932535
65 -0.59473234 0.8429181
16 -0.9685914 0.122654766
25 -0.9043216 0.20937426
85 -0.7531042 0.56001854
84 -0.85834485 0.34039497
89 -0.9948425 0.057295572
83 -0.70974034 0.6568476
63 -0.8488345 0.33694273
29 -0.78068846 0.47017324
59 -0.81809735 0.3751446
58 -0.7498757 0.5677255
94 -0.9474422 0.08475618
71 -1.0580845 -0.106815636
35 -0.73436314 0.6057177
38 -0.6936971 0.6592224
87 -0.8356789 0.34198081
34 -0.7065529 0.6565153
22 -0.64221865 0.77552044
10 -0.91958857 0.2029271
50 -0.7806806 0.46279937
60 -1.2124126 -0.41425884
92 -0.8844215 0.27795228
36 -0.7731867 0.47845745
6 -0.76758415 0.49579865
26 -1.2114071 -0.38567844
70 -0.88402736 0.29193902
37 -0.52251095 1.0813892
91 -0.86241007 0.31581816
30 -1.1226087 -0.1961508
11 -0.6688608 0.7024377
52 -0.9748667 0.07704149
3 -0.75052375 0.55058295
69 -0.76373893 0.51507527
24 -0.6238883 0.8287459
13 -1.0453403 -0.06465518
40 -0.70173275 0.6574011
55 -0.8063089 0.46663508
33 -0.9836172 0.048805855
19 -0.6947477 0.6586833
86 -1.0447786 -0.04242322
20 -0.67347455 0.7171906
97 -0.831615 0.37019008
74 -0.5848969 0.9543266
18 -0.8948933 0.2541839
76 -1.1505967 -0.28680494
90 -0.55150414 1.004518
9 -0.77782583 0.4908404
32 -0.77088505 0.5327583
64 -0.6179208 0.8410971
96 -1.0228475 0.003605693
28 -0.9608359 0.09362341
73 -0.76252246 0.49646905
42 -0.9740417 0.11185937
31 -0.5416578 1.0175259
27 -0.9847953 0.06668329
43 -0.7822092 0.45634568
67 -0.56673646 0.9431388
1 -0.70325506 0.6690713
4 -0.6409205 0.7829483
17 -0.5672968 0.9704776
2 -0.7603562 0.4647112
68 -0.9873989 0.0817
39 -1.1253557 -0.195916
81 -0.97855085 0.058571327
7 -0.73985404 0.5774655
77 -0.793181 0.42790928
