100 2
72 0.42131552 0.83983636
5 0.3703923 0.8694737
66 0.39354324 0.87313914
23 0.83410215 0.44032684
49 0.34537303 0.9435271
56 0.53740597 0.70967865
57 0.5575899 0.7234753
47 0.82346416 0.443404
46 0.6653603 0.62230843
61 1.139604 0.16591188
79 0.51006544 0.78512627
98 0.5600389 0.7033744
45 0.5585608 0.69129115
14 0.53620964 0.7368533
41 0.40393183 0.8481585
62 0.17376931 1.0799623
63 0.51594675 0.7355211
15 0.5800629 0.69416565
95 0.9046061 0.3704607
53 0.45999345 0.818087
82 0.36529976 0.90739566
0 0.12218167 1.1597248
93 0.8482207 0.4190378
44 0.8713375 0.4170421
54 0.26801 1.034259
65 0.63070595 0.63098735
51 0.9793801 0.30770954
21 0.7617631 0.5316395
78 0.8105751 0.4385675
80 1.0024539 0.26386487
29 0.6085365 0.6616166
8 0.5073625 0.75612164
83 0.81410205 0.468599
12 0.82801 0.46016774
75 0.6361698 0.6279811
48 0.5459689 0.7245304
25 1.1107345 0.17883584
35 0.11046441 1.1537626
59 0.5243265 0.73364264
88 0.27793178 0.98040664
91 0.71442384 0.5587563
94 0.3777748 0.87928295
50 0.6708264 0.6060156
85 0.57837206 0.6901114
16 0.7881757 0.48344034
22 0.86448514 0.43105602
89 0.95805 0.31659213
92 0.5350085 0.75538665
58 0.42070037 0.85755885
84 0.7817655 0.497458
99 0.9415852 0.32360372
36 0.44508725 0.8295281
71 0.6347308 0.62059504
10 1.0085511 0.2534944
37 0.6670847 0.62755996
60 0.4333506 0.8227248
26 0.86547023 0.4036017
34 0.29707286 0.97067225
38 1.0033562 0.29245827
70 0.93185896 0.36762068
3 0.27709666 0.99932444
11 0.35041082 0.8993401
13 0.9333992 0.33593455
69 0.48524812 0.7536276
76 0.7053253 0.5538985
97 0.8683961 0.4284702
86 0.8744127 0.41360733
52 0.32127106 0.94782877
40 0.50826335 0.7609715
87 0.45105788 0.8226789
19 0.4974774 0.76775193
74 0.16681622 1.1141323
18 0.74959403 0.5247492
33 0.92877966 0.33383596
6 0.41952947 0.8559744
30 0.8546421 0.4214773
20 0.39128733 0.89228487
55 0.12740718 1.1592804
28 0.80624366 0.4507144
96 1.0920557 0.19154306
67 0.9841026 0.29774335
90 0.52885467 0.73492485
9 0.41109788 0.8638723
27 1.0690228 0.22308739
24 0.2872597 0.972586
32 0.69639987 0.59338313
17 0.7552134 0.50912875
64 0.19935174 1.0759746
4 1.0757763 0.2016986
42 0.43338233 0.8356478
73 0.7764955 0.47994843
7 1.0469669 0.21559542
39 0.41224402 0.8694443
1 0.49309155 0.76229423
31 1.050171 0.23968895
81 0.4800478 0.7725878
68 0.1989434 1.0649385
43 1.0085799 0.27480057
2 0.29941455 0.9442282
77 0.7942399 0.48018402
