1000 2
421 -0.55558264 -1.1357634
839 -0.075100414 -1.2265258
787 -0.22347094 -1.2098787
563 -0.4433112 -1.1612778
113 -0.03707014 -1.2228892
838 0.19544832 -1.2797538
208 0.04798337 -1.2434149
918 0.04046897 -1.2712798
823 -0.3746577 -1.1760682
307 -0.26012865 -1.200168
419 -0.16324833 -1.1830417
38 -0.4790853 -1.1758943
81 -0.3628968 -1.1882657
14 -0.3142117 -1.1906681
946 -0.19247508 -1.2105263
746 -0.19487056 -1.1842595
243 0.08631799 -1.2629794
173 -0.2249161 -1.1980048
102 -0.11029813 -1.2044531
618 0.008350625 -1.235401
169 -0.42159843 -1.1709853
674 0.08143758 -1.2570976
716 -0.41078 -1.1752855
887 -0.112818986 -1.1913314
567 -0.12116322 -1.2297744
87 -0.07855981 -1.2190484
487 -0.0107116755 -1.2373507
335 -0.067061946 -1.2335553
110 -0.110517465 -1.2215046
974 -0.15494116 -1.2009149
605 -0.3225683 -1.1839653
732 -0.18287903 -1.1865627
663 -0.4382746 -1.1922618
589 -0.17447183 -1.2340122
235 -0.109538235 -1.2066176
403 -0.19539383 -1.2123654
622 -0.32765839 -1.1697065
429 -0.34422708 -1.2038873
278 -0.26933035 -1.1888235
92 -0.6225171 -1.1316372
240 0.14194325 -1.2731428
543 -0.20802723 -1.1849643
114 -0.24847326 -1.2064205
730 -0.37812838 -1.1717966
930 0.0024007533 -1.2394724
910 0.15549324 -1.2775724
334 -0.5563351 -1.1424927
831 -0.48620045 -1.1414446
729 -0.38371179 -1.1865954
24 -0.13593873 -1.2025855
723 -0.37289572 -1.2197902
420 -0.06769003 -1.22387
814 0.006176042 -1.2377497
144 0.08174089 -1.2498199
710 -0.35941133 -1.1657203
294 -0.2844179 -1.1877189
85 -0.1197052 -1.1906359
2 -0.015572387 -1.223283
757 -0.32545096 -1.1791086
190 -0.3665723 -1.179491
311 -0.111002006 -1.1979145
78 -0.17839587 -1.1816585
894 -0.526845 -1.1672922
391 -0.3816637 -1.1836392
146 -0.04877763 -1.2474666
960 -0.35031316 -1.1958458
847 0.11845409 -1.2481709
145 -0.15970466 -1.2023726
572 -0.18519984 -1.187394
771 -0.11347637 -1.2179226
449 -0.14313328 -1.221695
390 -0.33931485 -1.1810577
100 -0.009892669 -1.2242963
821 -0.03590817 -1.2108918
230 -0.19341533 -1.2040299
914 0.24681792 -1.266255
598 -0.36704957 -1.1577425
423 -0.1273752 -1.2239903
225 -0.074421406 -1.1856424
861 -0.23128659 -1.204007
263 0.11610654 -1.2432709
424 -0.40440658 -1.2015477
603 0.10418199 -1.2628162
103 -0.028630972 -1.256736
739 -0.18209256 -1.1654056
16 -0.38699862 -1.1866078
214 -0.6522937 -1.1009053
10 -0.3253388 -1.1725776
529 0.010792516 -1.2425662
198 0.14616832 -1.2555618
62 -0.16211693 -1.2005848
720 -0.29249108 -1.201018
222 -0.17076367 -1.1760088
856 -0.03186705 -1.2418044
253 -0.3071898 -1.191042
211 0.15437275 -1.2713337
438 -0.40567333 -1.2134945
761 -0.081878215 -1.2453809
323 -0.16940932 -1.2184737
651 -0.30043092 -1.1991926
353 -0.30195925 -1.1613117
801 0.01263947 -1.221469
780 -0.07259822 -1.2141756
467 0.17382781 -1.3040386
635 -0.03672043 -1.2092835
66 -0.6812173 -1.1395257
56 -0.32203355 -1.2104166
51 0.12570412 -1.2673155
808 -0.22615743 -1.1816512
580 0.25046778 -1.3093556
812 -0.054045234 -1.2470773
898 0.1552071 -1.2657454
140 0.14152129 -1.2513863
673 -0.22165598 -1.2040464
828 -0.2495845 -1.1963776
742 -0.0030142788 -1.2466748
773 -0.4825206 -1.1648422
178 -0.03660618 -1.2464061
541 -0.18114257 -1.2293252
745 -0.08625019 -1.1867585
6 -0.16059183 -1.2219086
939 -0.3465718 -1.1774518
270 -0.3484592 -1.2052256
52 -0.15784402 -1.2026854
903 -0.11465662 -1.2337384
171 0.078161836 -1.2445912
3 -0.16771199 -1.2056105
664 -0.4459079 -1.1420774
279 -0.065065645 -1.2336655
694 -0.028786793 -1.2329097
548 -0.61277485 -1.1302267
530 -0.19629832 -1.1978724
378 -0.093736045 -1.2074478
692 0.18855809 -1.2662717
959 -0.18145919 -1.1814642
562 -0.4653658 -1.1467041
138 -0.5365427 -1.1705797
491 -0.27969116 -1.1630074
680 0.2525561 -1.270947
715 -0.23346737 -1.205476
888 -0.36361668 -1.1694882
466 -0.20587404 -1.1854035
221 -0.23040074 -1.1837667
80 -0.2104381 -1.1818304
675 -0.36589247 -1.1899537
292 -0.22571504 -1.2114055
934 -0.58873594 -1.1315727
288 -0.39405423 -1.1904863
564 -0.06893933 -1.2281331
950 -0.26619923 -1.2096609
248 -0.22903359 -1.2027637
753 -0.018766169 -1.2408392
20 -0.11601047 -1.2195979
283 -0.3305752 -1.1601937
941 0.00014396093 -1.2404652
762 0.12965065 -1.272174
