100 2
1 -0.80901915 0.8890436
4 -0.91796964 0.8354358
0 -0.8460179 0.86572325
2 -0.7924704 0.9253794
3 -0.82106096 0.8564
93 -0.74448013 0.91548985
27 -0.924189 0.73766947
89 -0.8033388 0.77292335
58 -0.7023926 0.9199445
6 -0.74598575 0.87818134
39 -0.81973714 0.71267766
42 -0.7114811 0.9156986
95 -0.9481915 0.66170514
46 -0.78643364 0.7925094
9 -0.9322235 0.71466285
97 -0.4506172 1.0570365
57 -0.7785034 0.76117915
87 -0.58789146 0.8748058
12 -0.63392496 0.91069996
68 -0.77112913 0.85164446
94 -0.62763107 1.0895518
70 -0.59697425 0.9288382
5 -0.5810143 0.9747725
48 -0.5892864 0.9468635
26 -0.7869574 0.7537113
15 -0.61805606 0.9670322
66 -0.59104174 0.9269836
76 -0.6798297 0.8173358
82 -0.8327341 0.7862666
11 -0.92862064 0.8414081
7 -0.74273187 0.8204647
41 -0.9567066 0.6846922
59 -0.91657835 0.7091041
49 -0.8141732 0.7918185
98 -0.7707304 0.79919684
90 -0.7673659 0.7973887
14 -0.71240085 0.8748431
83 -0.6618738 0.94352144
31 -0.67022747 0.9386526
96 -0.65220606 0.7949248
69 -0.5919875 1.0166554
20 -0.61760867 0.8752875
36 -0.5957354 0.98943245
88 -0.5179958 1.0551679
35 -0.67880714 0.86802346
84 -0.8463583 0.65214777
52 -0.7661529 0.8483444
33 -0.48446915 1.0017653
64 -0.82633775 0.78346705
28 -0.47920686 1.0116394
19 -0.4787928 1.0654219
62 -0.5762473 0.9801558
34 -0.85252225 0.8009545
43 -0.6588902 0.8562799
73 -0.57962066 0.9943513
67 -0.54274213 1.0082301
80 -0.53905433 0.96075433
53 -0.53469425 0.99106926
74 -0.6302144 0.9252984
99 -0.79285616 0.84238523
56 -0.7308005 0.90091354
23 -0.593015 0.9366757
63 -0.87409556 0.73472506
78 -0.79800165 0.7146911
47 -0.6281718 0.88795257
22 -0.79116267 0.8707848
86 -0.73690027 0.7998055
24 -0.9817099 0.72690314
50 -0.63116175 0.9694183
92 -0.73850566 0.8446947
75 -0.62196445 0.9359738
51 -0.50299513 1.0012224
85 -0.7391199 0.83361894
40 -0.7848678 0.80310225
44 -0.93791115 0.6740287
65 -0.64332473 0.93652517
18 -0.68370956 0.8805787
55 -0.818864 0.7570729
32 -0.49939963 1.1289454
37 -0.81774956 0.8698182
91 -0.75341195 0.8872149
8 -0.6713943 0.9030682
72 -0.8639178 0.8016017
81 -0.5161971 1.0812976
21 -0.5898148 0.97385883
30 -0.588823 0.9558703
38 -0.71165365 0.852921
10 -0.6489651 0.94968784
54 -0.57767713 0.99748176
17 -0.78285056 0.8283604
13 -0.4148184 1.0701853
45 -0.5723607 0.90152985
16 -0.6560154 0.8386748
60 -0.71599853 0.8765417
79 -0.7959735 0.80552715
71 -0.7301407 0.8513589
29 -0.7434205 0.8367245
25 -0.60223526 0.95490324
61 -0.4978437 1.116392
77 -0.62731403 0.95122355
