100 2
72 0.76010776 -0.50018895
66 0.83403134 -0.38230845
5 0.65386647 -0.6794835
47 0.86057985 -0.32652253
49 0.62603116 -0.7222016
56 0.6824512 -0.6593997
21 0.89850515 -0.28333074
15 0.73096704 -0.57778937
57 0.5781324 -0.8701501
23 0.8553268 -0.33657867
46 0.9575501 -0.15006883
79 0.6131929 -0.82106525
93 1.0557592 -0.0020628055
61 1.1310618 0.1256027
45 0.76789147 -0.5006956
98 0.7563819 -0.52557856
65 0.77200186 -0.468697
12 1.0592297 -0.015565387
82 0.6102148 -0.8107849
88 0.74098694 -0.56233627
62 0.55019814 -0.9134634
41 0.4652941 -1.066015
54 0.81943274 -0.41093102
14 0.7763351 -0.5469212
80 1.0454955 0.006348845
53 0.8217723 -0.38844383
63 0.5076359 -1.0102434
0 0.6205627 -0.7981808
44 1.0256671 -0.09480606
51 0.9711353 -0.20830463
78 0.7957413 -0.44102284
48 0.6969752 -0.63103414
95 0.7865215 -0.43239316
59 0.76106566 -0.5011752
8 0.826277 -0.4075234
29 0.7817231 -0.5149334
99 1.1850917 0.20926994
38 0.87608504 -0.3205724
75 1.023798 -0.05715371
36 0.79496115 -0.4522756
25 0.9985613 -0.0791415
89 0.8140281 -0.43498844
94 0.613129 -0.8361505
85 0.73222697 -0.5572425
92 0.6701441 -0.704176
16 0.9337046 -0.21819566
83 0.86123246 -0.36150602
50 0.7814644 -0.48747635
60 0.7950062 -0.4719455
22 0.65096706 -0.7191412
58 0.72214425 -0.60563195
35 0.44526187 -1.1073979
37 0.6624835 -0.7536178
84 1.0424781 -0.046083625
71 0.9386703 -0.1585744
34 0.47741446 -1.0774982
3 0.7800679 -0.46466675
26 1.0070194 -0.07956675
13 1.1112118 0.10730558
70 1.1937686 0.21407777
91 0.68969935 -0.7041017
10 0.99993527 -0.10074978
33 1.0552216 0.011082307
6 0.7044405 -0.6174364
19 0.8446535 -0.36625442
87 0.61331385 -0.8103091
69 0.8000397 -0.40549543
11 0.5390734 -0.9216146
52 0.6324967 -0.7796377
86 1.1064094 0.07325998
24 0.42869994 -1.1064172
97 0.7606697 -0.5077713
74 0.5967215 -0.78234994
30 1.0589906 -0.01939978
76 0.8797793 -0.28371185
40 0.6046013 -0.7937814
20 0.9036497 -0.26145148
96 1.0119821 -0.087431505
18 0.9845886 -0.11085759
28 0.86972886 -0.28390136
55 0.5694623 -0.87011194
90 0.704268 -0.6476732
31 1.001972 -0.10641962
42 0.6161214 -0.80585027
17 0.75944364 -0.50191605
64 0.46510932 -1.0929778
9 0.7337111 -0.5836716
67 0.6780848 -0.64314604
73 0.7108494 -0.5862926
7 1.0224084 -0.032819577
27 1.1065569 0.07574111
32 0.9599767 -0.19686599
4 1.0014217 -0.12767048
1 1.0285757 -0.07851482
81 0.624529 -0.7590058
68 0.7358765 -0.5351356
2 0.7454742 -0.49839294
43 1.1683943 0.17900619
39 0.8462321 -0.37810037
77 0.72307354 -0.62971413
