1000 2
225 -0.4603142 0.22633308
724 -0.4282938 0.25334677
658 -0.4786881 0.20870303
491 -0.15169986 0.4885924
258 -0.349426 0.31862834
419 -0.26105446 0.39563268
437 -0.43905568 0.24150005
472 -0.30571106 0.35909292
13 -0.32870358 0.33929148
651 -0.45800927 0.22924934
143 -0.5901823 0.11531397
687 -0.61521053 0.09594445
944 -0.10312434 0.53111684
203 -0.47308928 0.2134097
370 -0.21322075 0.4329359
470 -0.60162455 0.10654369
599 -0.53478354 0.16371772
448 -0.32079095 0.34267336
406 -0.19505896 0.45053813
675 -0.27734208 0.38068694
780 -0.4844915 0.20305239
136 -0.5270077 0.16978145
115 -0.37774086 0.29562908
605 -0.19443 0.4531877
567 -0.48739925 0.20372958
340 -0.25678754 0.3997915
138 0.047964897 0.6649634
831 -0.22053325 0.43025574
266 -0.35319412 0.31380898
900 -0.12042224 0.51816684
105 -0.106787205 0.5282502
699 -0.19435374 0.45214733
588 -0.50483423 0.18803762
775 -0.2627788 0.39315486
917 -0.16405815 0.47668472
875 -0.17788148 0.4671337
395 -0.20604569 0.44379842
182 0.012249845 0.6316356
516 -0.3231637 0.34213814
621 -0.24034746 0.41185433
761 -0.13049446 0.50630313
978 -0.111802295 0.52139574
230 -0.40858996 0.27035367
272 -0.34137386 0.32343438
678 -0.23277788 0.42250043
521 -0.057954475 0.5677552
746 -0.61958736 0.093424685
662 -0.52076393 0.17313704
732 -0.29034668 0.36834678
35 -0.516309 0.18156476
730 -0.3341799 0.33054453
463 -0.37262306 0.2978602
812 -0.49694985 0.19573663
423 0.08417849 0.6957964
445 -0.15962225 0.48400354
282 -0.25162357 0.4021633
240 -0.16138302 0.4805267
711 -0.64099234 0.07530922
953 -0.41109508 0.26841956
134 -0.30847105 0.35336486
290 -0.18352799 0.46185234
698 -0.13321072 0.50501
427 -0.3530859 0.3169326
719 -0.3593455 0.30990934
786 -0.64894915 0.066630974
543 -0.40674895 0.2708599
81 -0.48040378 0.20726947
817 -0.33434895 0.33455428
314 -0.119261116 0.51201975
893 -0.42125636 0.25730228
10 -0.2856796 0.3725133
242 -0.49545363 0.19682074
416 -0.42674187 0.25521612
369 -0.051986866 0.5744069
389 -0.16731828 0.47624746
573 -0.26127073 0.3973695
946 -0.2031037 0.44552958
16 -0.35782802 0.30955938
251 -0.44196138 0.24201402
271 -0.21352628 0.43488276
740 -0.51133525 0.1823408
151 -0.22740886 0.42275026
627 -0.07431804 0.5547465
515 -0.34634227 0.32133406
880 -0.15233277 0.49037427
903 -0.0073803896 0.6115665
561 -0.3209401 0.34339428
344 -0.56279 0.13787504
278 -0.6844424 0.036916368
998 -0.17521808 0.46886617
133 0.0026997072 0.62871885
708 -0.22228077 0.42713222
519 -0.212784 0.4332519
452 -0.05089087 0.5733902
674 -0.38997623 0.28195694
618 -0.1422588 0.49126798
100 -0.5044072 0.1887155
997 -0.45039433 0.23297049
500 -0.13303696 0.5044704
25 -0.308861 0.35290357
958 -0.22690193 0.4248409
748 0.040938612 0.6591658
204 -0.2955853 0.36352614
310 -0.5339787 0.16534269
888 -0.22633556 0.42613345
294 -0.24609981 0.40879306
729 -0.5057991 0.18939814
866 -0.350068 0.3179182
692 -0.34188315 0.3267019
178 -0.2983128 0.36190906
983 -0.2265331 0.4231293
823 -0.44290236 0.23882964
66 -0.105178475 0.5283459
345 0.044234738 0.6579562
148 -0.23014562 0.42331067
102 -0.5130089 0.18149698
744 -0.64252645 0.07133441
890 -0.17830503 0.4645295
762 -0.18647836 0.4572606
306 -0.19578117 0.44629756
968 -0.26302683 0.3927892
772 -0.43366188 0.2458263
541 -0.34562397 0.32102922
244 -0.41048425 0.26564053
14 -0.365622 0.30629945
300 -0.44375318 0.23910083
38 -0.15251096 0.48645943
270 -0.251847 0.40336314
642 -0.10529807 0.5275916
139 -0.16840719 0.47342983
352 -0.07761059 0.5527278
981 -0.33640203 0.328463
843 -0.64960235 0.066406384
116 -0.3436144 0.32291326
975 -0.22356634 0.42454717
311 0.017890401 0.6334794
482 -0.041894197 0.5831004
557 -0.17317827 0.472828
842 -0.3959583 0.28101426
9 -0.5876197 0.11606777
382 -0.64963436 0.0655337
771 -0.108960964 0.52559143
15 -0.5073338 0.18638405
583 -0.38857415 0.2868772
243 -0.2609759 0.39626828
353 -0.30655324 0.35493323
725 -0.36219394 0.30918077
167 -0.32709035 0.33833364
324 -0.21963882 0.43096846
49 -0.72246647 0.0068762945
431 -0.5988322 0.106738485
337 -0.3845681 0.29066354
787 -0.24653889 0.4088018
497 -0.20562507 0.44202057
341 -0.39941904 0.2784374
477 -0.2833984 0.3772329
765 -0.2943955 0.36604765
53 -0.5707021 0.13253511
159 -0.33210516 0.33564287
785 -0.10108751 0.5319204
378 -0.5204753 0.17464085
972 -0.48490587 0.20393515
476 -0.4338371 0.24875583
429 -0.15677522 0.4829471
664 -0.024849216 0.6002212
562 -0.38628605 0.28816417
895 -0.4869359 0.20277968
680 -0.29424468 0.3680879
90 -0.2785395 0.38219976
757 -0.22575144 0.42283908
669 -0.22897905 0.4228052
450 -0.27115515 0.38605922
556 -0.20644018 0.44227397
73 -0.24541813 0.40731004
332 -0.35401762 0.31817088
999 -0.5409019 0.15759455
506 -0.26785058 0.38873398
222 -0.51317644 0.18243414
873 -0.3318627 0.33481494
161 -0.17032859 0.47399017
779 -0.4639213 0.22209096
305 -0.6995627 0.026898412
303 -0.4814816 0.20964506
373 -0.32610542 0.34171352
547 -0.1541261 0.48901471
409 -0.31206268 0.35163987
328 -0.08173916 0.5473879
101 -0.4583939 0.22787982
76 -0.41263732 0.26570252
468 -0.3705968 0.30105275
548 -0.25052643 0.4059519
127 -0.17845057 0.46585107
173 -0.1846726 0.4625417
598 -0.2743073 0.38500878
803 -0.2035354 0.4435728
602 -0.49951506 0.19354916
326 -0.16036147 0.48145533
793 -0.31558174 0.34621432
275 -0.35842776 0.31204996
28 -0.28305462 0.37639618
942 -0.20013812 0.44739676
538 -0.50243187 0.1881771
383 -0.28732684 0.37285075
432 -0.33761474 0.32956737
401 -0.44014347 0.24160877
613 -0.17415264 0.46859238
941 -0.24754098 0.4057354
197 -0.1667138 0.4744718
518 -0.7266851 0.001331771
769 -0.32921368 0.33561915
193 -0.38831398 0.28608987
952 -0.096661836 0.5370491
153 -0.42752293 0.2520965
385 -0.18670614 0.46050003
839 -0.38132218 0.29287723
250 -0.24016546 0.4126425
57 -0.41217852 0.26705635
400 -0.769489 -0.029583393
293 -0.33107054 0.3352594
855 -0.24142754 0.41229135
677 -0.31123 0.35303268
221 -0.0189161 0.6017655
859 -0.14130205 0.49903423
794 -0.21020108 0.4419635
715 -0.33422375 0.33430362
227 -0.18793723 0.45738196
245 -0.17284925 0.4721173
424 -0.23692976 0.4157862
735 -0.45845777 0.22530326
804 -0.44963324 0.2359526
302 -0.5244955 0.1723704
502 -0.3300849 0.33680966
408 -0.22926664 0.4223913
