100 2
1 -1.1775123 0.51357764
4 -1.1886963 0.5832999
3 -1.1986476 0.5673146
2 -1.1738521 0.54963034
0 -1.0671722 0.828539
49 -0.99059755 0.6591352
42 -1.0288851 0.522075
6 -1.047322 0.4799798
19 -1.028991 0.49346378
65 -1.0137252 0.47868165
58 -1.1617754 0.31860027
70 -1.0931764 0.5084463
76 -1.2033855 0.3700838
24 -1.0598937 0.508349
51 -1.1516243 0.29850188
69 -1.1659847 0.1927216
14 -1.0951996 0.41652462
85 -1.146168 0.25757658
93 -1.0298074 0.5281249
82 -1.0328212 0.58360004
40 -1.0433043 0.4972601
20 -1.095418 0.530868
37 -1.1486839 0.34740186
56 -0.9833519 0.5584507
62 -0.98405284 0.6652226
34 -1.095553 0.5221375
43 -0.96873 0.64225096
92 -1.2473295 0.28181356
98 -1.1122816 0.42864215
55 -1.0540168 0.55194265
96 -1.0266553 0.5338654
80 -1.0686792 0.6118057
11 -1.1035588 0.42549506
99 -1.0727174 0.54240936
33 -1.1011796 0.31209219
28 -0.98055214 0.6303599
32 -1.0842332 0.2897117
95 -0.9614165 0.75070316
89 -1.2319828 0.23900929
71 -1.1220692 0.43068615
77 -0.9294799 0.7396703
74 -1.0805407 0.58146566
41 -1.1492903 0.17754307
88 -1.1047853 0.34025472
12 -1.0321571 0.6446658
84 -1.1583637 0.3519277
79 -1.1330434 0.40519693
91 -0.99999934 0.71181357
39 -1.005377 0.67468965
86 -1.0331378 0.60142195
27 -0.9171422 0.720978
5 -1.091978 0.41227996
53 -1.1440951 0.42314178
59 -1.1467155 0.44565958
16 -1.0812867 0.5544825
15 -1.1523706 0.3440893
72 -1.0354112 0.6357912
73 -0.98619705 0.6185678
48 -1.0251467 0.5662356
45 -1.1786237 0.28542674
68 -1.1503313 0.36790493
57 -1.1195214 0.45882323
21 -1.1287632 0.37735415
66 -1.0108439 0.6447762
30 -1.085762 0.3551579
94 -1.1009876 0.4387051
75 -1.0150163 0.6837573
23 -0.9865004 0.636818
52 -1.1461971 0.26605406
38 -1.1741552 0.32377076
60 -1.1689663 0.3503288
81 -1.0233171 0.5430611
17 -1.062841 0.35200787
36 -1.0968194 0.414573
63 -1.1074103 0.3890676
90 -1.1627903 0.24977596
83 -1.047778 0.6048294
13 -1.1710514 0.24163753
64 -1.1088246 0.32978863
8 -1.0826842 0.48593208
87 -1.0881802 0.49109048
67 -1.1154815 0.42639968
46 -1.0545686 0.44784182
18 -1.1608969 0.24262373
29 -1.0972753 0.3737559
31 -1.0527563 0.4409623
61 -1.0482904 0.49396732
35 -1.0572175 0.67929226
10 -1.02802 0.46483788
50 -1.1302571 0.24280004
97 -0.9990286 0.5779713
47 -0.995336 0.5616689
44 -1.0530992 0.36893392
9 -1.0751275 0.38225245
26 -1.177884 0.28519577
78 -1.0798819 0.5834296
7 -1.0498307 0.47482872
25 -0.9780809 0.6259384
54 -1.0542225 0.44842696
22 -1.1337898 0.3465795
