1000 2
225 0.22209062 -0.41042882
658 0.5216477 -0.24544117
724 0.25591633 -0.39196703
13 0.22323531 -0.40817028
419 -0.033658966 -0.55252993
675 0.16743109 -0.44057357
472 0.19869201 -0.42498153
115 0.55981237 -0.22419383
651 0.25497872 -0.39074203
324 0.3505211 -0.33748898
148 0.02393061 -0.5212814
917 0.41086772 -0.3058973
748 0.4928798 -0.26207092
230 0.03511547 -0.51548904
143 0.03294098 -0.51594794
182 0.19296561 -0.42633897
437 0.49768618 -0.25536314
258 -0.0089505175 -0.53904366
958 -0.09986464 -0.59483206
470 0.32714787 -0.35162625
340 0.2077663 -0.41987512
692 0.31228936 -0.36130702
875 0.36199942 -0.33219662
491 0.20426618 -0.42194885
678 0.09183339 -0.48241922
270 0.3107091 -0.36131954
866 -0.015155737 -0.5448482
116 0.17288263 -0.4401349
370 -0.016693387 -0.54553676
567 0.25307646 -0.3916253
732 0.3663379 -0.32953322
944 0.23505697 -0.4042322
515 0.09831175 -0.4807889
136 0.05781673 -0.5005812
699 -0.12944883 -0.6107973
102 0.2939279 -0.3721307
599 0.074974135 -0.49201816
409 0.40389755 -0.30962002
786 0.298952 -0.367914
780 0.21220887 -0.4135219
138 0.28095534 -0.3794623
812 -0.07378563 -0.57768196
395 0.3159343 -0.35553864
521 0.2410242 -0.40011656
272 0.21246657 -0.4134711
831 0.42014408 -0.30162
562 0.4042364 -0.30845836
406 -0.09942355 -0.58955365
746 0.4665249 -0.27273387
903 0.40412864 -0.30675018
823 0.4857408 -0.2633464
573 0.33224377 -0.34970167
785 0.32399374 -0.35298237
311 0.19081157 -0.42539206
900 0.09248005 -0.48385105
15 -0.05965578 -0.57061857
28 0.28230432 -0.37649533
10 0.5727322 -0.21914235
642 0.29499942 -0.37124938
282 -0.07595417 -0.57982874
516 0.31262547 -0.35862228
740 -0.01837157 -0.54606843
331 -0.11369592 -0.59987396
431 0.119549185 -0.46731156
203 0.28153595 -0.3780162
711 0.21668328 -0.41370597
662 0.57198083 -0.21721604
463 0.56586015 -0.21878941
588 0.5654473 -0.21936646
314 0.10062548 -0.4766649
243 0.3061086 -0.36309132
953 0.13835377 -0.45761922
761 -0.20190033 -0.6473521
429 0.25328758 -0.39209804
118 -0.09716704 -0.5899695
583 0.2807548 -0.3765737
427 0.07521077 -0.49545553
38 0.21423478 -0.41397303
771 0.055152297 -0.50688374
293 0.48568618 -0.26426432
775 0.27106398 -0.38144317
452 0.15693466 -0.44820642
698 0.12767023 -0.46382505
423 -0.048631895 -0.5631236
448 0.15163709 -0.44590175
341 0.130237 -0.46448305
621 0.28417683 -0.374276
303 0.52448696 -0.24194512
445 0.29294303 -0.36979172
687 0.17069843 -0.4379487
561 0.40840828 -0.30604708
100 0.42001688 -0.30097046
978 -0.021248726 -0.5482252
133 0.16773519 -0.4417798
244 -0.058646265 -0.56785756
271 0.17209184 -0.43978179
888 -0.09496547 -0.59185296
300 0.38753006 -0.3175655
817 0.3343102 -0.34954673
518 0.44168508 -0.28792894
538 0.31578916 -0.35853258
81 0.2979739 -0.36801955
290 0.16036408 -0.44572344
880 0.038669445 -0.5158729
899 -0.09164346 -0.586539
275 0.3700397 -0.327307
744 0.41695407 -0.30175343
605 0.32837853 -0.34983593
765 0.020095963 -0.52313536
73 0.18845984 -0.42730245
811 0.18603116 -0.4322956
240 0.45438024 -0.28199697
762 0.032469902 -0.5166675
49 0.26145938 -0.3884636
335 -0.048144713 -0.5619012
787 0.20946713 -0.41641626
416 0.45499542 -0.2797754
156 0.47219744 -0.27187234
127 0.038405202 -0.5135589
381 0.39423156 -0.3155274
294 0.31604555 -0.35705572
134 0.33600393 -0.34808967
266 0.51244795 -0.24888359
310 0.25325108 -0.39339605
804 0.1338621 -0.46100688
221 -0.00060129294 -0.5349191
555 0.39814824 -0.31581685
167 0.42403305 -0.30020976
821 0.3350015 -0.34714675
245 0.3818769 -0.31965393
968 0.4176881 -0.30091354
757 0.38124147 -0.32088035
113 0.66803694 -0.16564444
242 0.4213139 -0.30184782
326 0.057870176 -0.5021543
482 0.42757443 -0.29580307
497 0.113026544 -0.47232884
161 0.4941856 -0.25912622
201 -0.12234318 -0.6020589
563 0.33504 -0.34684837
8 -0.22820899 -0.66838
173 0.27552888 -0.37936452
997 0.0305922 -0.518483
669 0.22543879 -0.40801117
779 0.35047325 -0.3384096
9 0.40792933 -0.3037409
856 -0.090412 -0.587097
128 0.3299837 -0.35102895
715 0.39991987 -0.3118056
204 -0.2065168 -0.656075
664 -0.058375333 -0.56579155
35 0.118912995 -0.4695253
946 0.30904678 -0.36190814
344 -0.018658802 -0.54770845
858 0.055866733 -0.50332665
105 0.117576025 -0.46768415
151 -0.13535318 -0.61220795
541 0.17887628 -0.43370098
6 -0.17990309 -0.6389349
501 0.22833775 -0.40911067
895 0.17064585 -0.4422372
14 0.5230914 -0.24250352
345 -0.13329938 -0.6105926
195 0.19935857 -0.42056656
352 0.11118595 -0.47146216
570 0.29833114 -0.36653152
828 0.073787324 -0.49331132
729 0.4704125 -0.27293223
477 0.24749182 -0.3951036
982 0.28537926 -0.37537053
432 0.16785966 -0.44100356
719 0.1116678 -0.47420424
772 0.065229654 -0.49733287
885 0.11457072 -0.46819872
389 0.23322688 -0.4067457
500 -0.07041311 -0.5740516
972 0.35612494 -0.33726224
297 0.1077015 -0.47346988
735 0.1523544 -0.44982865
401 0.12611327 -0.46475053
506 0.3634928 -0.33168623
29 0.19603057 -0.42399153
90 0.43722203 -0.29181546
730 0.4068164 -0.30597055
852 0.33331186 -0.34682626
246 0.20223121 -0.4232924
951 0.18515317 -0.43107146
840 0.29715118 -0.36660433
306 0.33699298 -0.34373766
598 -0.017771995 -0.54609054
399 0.43396413 -0.29187247
950 0.2452523 -0.39587727
750 0.5020246 -0.256572
942 0.16062355 -0.44611618
568 0.18294106 -0.43307307
873 0.2868885 -0.3744921
319 0.4153653 -0.3043532
224 0.5281126 -0.24212539
543 0.451436 -0.2830501
793 0.14321212 -0.45494792
305 0.23996027 -0.40011403
999 0.14376798 -0.4545422
589 0.32096535 -0.35364136
674 0.37577146 -0.32585263
640 0.44018543 -0.29019585
983 0.18199919 -0.4287468
532 0.7301713 -0.1341743
16 0.27328417 -0.3817973
478 0.29508275 -0.3707711
952 0.24515124 -0.39849886
832 -0.12753496 -0.6057659
613 0.37214276 -0.3251925
819 0.50083935 -0.25617495
278 0.13234176 -0.45878735
911 0.1234103 -0.46396682
954 0.38748282 -0.31749973
842 0.022105236 -0.521835
526 0.176752 -0.43416262
170 0.1139345 -0.4702855
193 -0.07301896 -0.57962084
347 0.0344844 -0.5165818
996 0.21891169 -0.41158321
208 0.086439334 -0.48762426
222 0.42764822 -0.2963235
39 -0.1387461 -0.61611295
941 0.34722498 -0.34078372
547 -0.021309698 -0.546153
890 0.46615577 -0.2734756
190 0.18468124 -0.43242046
909 0.19331248 -0.4268197
494 0.48811376 -0.26330552
672 0.09085441 -0.48570698
41 0.23906207 -0.40064123
377 0.14723192 -0.45220953
769 0.27019793 -0.3817626
53 0.039425537 -0.51096606
385 0.095597655 -0.48072508
169 0.18758845 -0.43147764
449 0.07925339 -0.48988333
380 0.4494461 -0.28447685
995 0.20428729 -0.41894522
65 0.20274968 -0.41867882
178 -0.10436156 -0.5971962
627 0.33492357 -0.34568968
517 0.15369569 -0.4477067
71 0.30628642 -0.36255756
353 0.46021882 -0.27809173
421 0.19920579 -0.42297313
981 0.35980615 -0.33280012
893 0.23400119 -0.4031857
481 0.42545158 -0.2958971
86 0.5065189 -0.25129223
349 0.3637263 -0.33050954
708 0.40480515 -0.30886206
268 0.31044373 -0.36111972
213 0.53241336 -0.23840387
887 0.30758318 -0.3629642
197 0.13809985 -0.45731312
404 0.33995613 -0.34354013
120 0.7851404 -0.10312992
838 -0.19131729 -0.6426706
976 0.07973618 -0.48944393
392 0.18666738 -0.42988914
400 0.054900873 -0.5041118
525 0.14034465 -0.45628396
414 0.3655956 -0.33015066
382 0.17317797 -0.43820667
960 0.21853136 -0.4115044
781 0.13433005 -0.45762467
476 0.23839477 -0.3990994
670 0.32685292 -0.3519821
393 0.4513212 -0.28200182
180 0.33724326 -0.34602502
234 0.25447553 -0.3941108
835 0.41712835 -0.30163702
383 0.06401294 -0.4982598
928 0.37958112 -0.3208479
861 0.53197086 -0.23956653
460 0.4104529 -0.3052233
313 0.47348955 -0.2723389
612 -0.06201432 -0.57055014
192 0.19407445 -0.42633036
546 0.20328508 -0.42026502
680 0.4884733 -0.26319128
70 -0.14684042 -0.61793697
855 0.2746384 -0.380702
803 -0.039749987 -0.5572903
77 0.18241055 -0.4344599
372 0.4066442 -0.30438578
89 0.081697896 -0.48683327
373 0.24811022 -0.39648145
987 0.059731852 -0.5018867
557 0.2567955 -0.390039
131 0.03497385 -0.5132209
519 0.5266684 -0.24213536
857 0.19890386 -0.42264748
618 0.08838484 -0.48242247
548 0.6149816 -0.1949955
720 0.6728934 -0.16390835
23 0.35062212 -0.33770126
922 0.028978996 -0.5196063
805 0.5730302 -0.21642284
237 0.17913073 -0.43384835
998 0.3119845 -0.36158833
829 0.15352823 -0.44933084
140 0.2122489 -0.41661882
677 0.13129765 -0.4596732
397 0.5220814 -0.24601264
882 0.10557455 -0.475535
656 0.51183444 -0.25023615
66 0.48730654 -0.26236072
357 0.1868059 -0.4302139
556 0.14992248 -0.44908383
177 -0.054478895 -0.5672505
502 0.13337925 -0.4611508
4 -0.11219119 -0.59779906
549 0.19165194 -0.42737037
424 0.39941368 -0.310949
