100 2
72 0.76167583 0.051938795
5 0.76426935 0.30427596
66 0.76548713 -0.044472717
56 0.7587543 0.28527388
47 0.76134664 -0.10955259
23 0.7609954 0.032657746
49 0.75631577 -0.34661898
57 0.7705254 0.07602953
61 0.76101846 -0.17225789
46 0.76848835 -0.056003198
41 0.7693124 0.20853095
79 0.7842563 0.36065447
98 0.7362808 -0.11426643
45 0.7600604 0.120242245
93 0.75031656 -0.42086685
21 0.77327996 0.13833503
62 0.7835473 0.4142671
14 0.7730666 0.18991658
0 0.7886612 0.39081648
63 0.79198384 0.5370914
15 0.78324485 0.19402498
95 0.76192576 0.058189478
44 0.772249 0.0013113488
53 0.7420863 -0.38148102
65 0.7566768 -0.13406143
51 0.756251 -0.22247903
78 0.7454003 -0.20591147
54 0.7468774 -0.11574947
8 0.75965804 -0.2255869
82 0.80727506 0.64800996
75 0.73388577 -0.67887306
48 0.774701 0.040417973
80 0.7432902 -0.51458013
25 0.75493044 -0.13816348
88 0.74919796 -0.16318421
94 0.78410316 0.38844228
59 0.74532354 -0.28507248
29 0.76122916 -0.10972966
89 0.7606822 0.07406387
99 0.7462264 -0.3498451
12 0.7434756 -0.7918352
91 0.75532657 -0.17231187
83 0.7544857 0.030486453
35 0.7955104 0.46520674
22 0.7483926 -0.38275066
92 0.7753959 0.16719498
10 0.7477902 -0.14868522
50 0.7404212 -0.2825772
85 0.75427663 -0.2365086
58 0.76786786 0.09533378
36 0.7807058 0.17454912
37 0.7544152 -0.5304441
38 0.7406892 -0.7529987
26 0.7565095 -0.15462482
16 0.7776583 0.10360739
34 0.7898482 0.45372626
71 0.75073266 -0.0052224183
84 0.7493628 -0.2998784
3 0.76907367 0.045926668
60 0.7818344 0.4191942
40 0.7699453 0.09626734
19 0.7597454 0.025653401
70 0.752342 -0.5079817
69 0.7809503 0.29339716
76 0.77774763 0.35653213
13 0.73833716 -0.24309467
52 0.7802595 0.5160127
87 0.8124298 0.6761085
11 0.7521823 -0.13027576
97 0.78297 0.1420255
86 0.75912404 -0.29327726
74 0.76841235 0.2156849
6 0.7409307 -0.22822548
33 0.7423442 -0.30887902
30 0.7613624 -0.15484725
18 0.7443354 -0.50558484
20 0.7814422 0.2222542
90 0.760908 -0.12313913
55 0.81270486 0.55965024
9 0.77104175 0.15868297
28 0.7389162 -0.0051021
96 0.75919604 -0.038057964
24 0.8028851 0.504926
67 0.7589612 0.069342434
32 0.74852794 -0.42685327
27 0.7484158 -0.26825163
64 0.7659044 0.12661473
17 0.7420973 -0.445436
31 0.7365988 -0.7644791
4 0.7476179 -0.6049186
1 0.7370896 -0.88459545
68 0.7981818 0.5849579
73 0.74954385 -0.13740823
42 0.78450894 0.35654083
43 0.7432926 -0.75479484
39 0.7642932 -0.23787326
81 0.8039206 0.7007203
7 0.7256958 -0.5246899
2 0.72347164 -0.2316106
77 0.77784216 0.18145801
