1000 2
225 0.45448035 0.10691395
658 0.35689774 0.49378687
491 0.48237428 6.7167675e-05
143 0.43175924 0.19537406
13 0.41663286 0.24793226
875 0.44954893 0.12088738
599 0.41670096 0.25111216
724 0.39258987 0.35380825
605 0.45525777 0.11437978
340 0.42794678 0.20621291
419 0.5033347 -0.08793863
692 0.45252797 0.1223255
136 0.35650787 0.48789638
573 0.37516457 0.42231104
230 0.4656138 0.061063632
521 0.3735855 0.42938286
678 0.441972 0.1597049
687 0.43772492 0.17096198
472 0.4717304 0.035023704
651 0.4200028 0.23858987
944 0.4637704 0.07963074
463 0.4580779 0.086722575
182 0.4969142 -0.060018033
437 0.4431241 0.14898074
675 0.4075249 0.28334296
953 0.42165238 0.240739
775 0.48881567 -0.024572648
148 0.5204236 -0.1439324
100 0.44942084 0.13191414
134 0.4464909 0.14251831
780 0.4263981 0.21425045
831 0.37742946 0.41536924
370 0.5223871 -0.15258385
115 0.43048042 0.20265496
203 0.40925005 0.28123382
516 0.400617 0.31665662
258 0.49797094 -0.06258174
167 0.49917442 -0.065578625
204 0.47818568 0.018515369
621 0.47677088 0.015952908
812 0.4616785 0.074895024
518 0.35715377 0.49080136
282 0.464591 0.062206674
903 0.49323034 -0.04584742
997 0.48203114 -0.004270121
917 0.4582134 0.09455476
900 0.5854194 -0.39244902
958 0.4813477 0.0016267741
10 0.38523477 0.3762273
817 0.4607144 0.083007194
583 0.44870007 0.13085034
105 0.5435765 -0.23662588
423 0.44681814 0.13080187
664 0.5133447 -0.12790611
324 0.4798388 0.0039154417
406 0.45674166 0.09605098
303 0.4405531 0.1626784
699 0.58341527 -0.3842182
746 0.41649753 0.25590602
567 0.37072152 0.43103588
138 0.49841928 -0.055173967
173 0.4301717 0.20207106
133 0.48202547 -0.014136827
470 0.41073558 0.2781567
305 0.46527874 0.06471254
272 0.45103458 0.11453589
996 0.42801416 0.20239437
866 0.4628454 0.06691222
477 0.4926756 -0.040274113
669 0.37009972 0.44156072
270 0.33427835 0.578046
946 0.4036237 0.3028689
744 0.37970027 0.38761976
245 0.47308856 0.040854197
771 0.46069935 0.08087806
588 0.41899687 0.24442047
339 0.45754722 0.0930012
278 0.3908484 0.35792384
899 0.4301951 0.19880565
545 0.38402307 0.3787516
730 0.3662096 0.46407825
805 0.46319172 0.073647864
409 0.43505603 0.18623652
314 0.57498825 -0.343472
195 0.45152336 0.11508284
515 0.50330096 -0.083338335
240 0.4566482 0.100016445
118 0.55279744 -0.27256203
416 0.43988875 0.15872793
761 0.537053 -0.21916723
947 0.39984354 0.31589597
785 0.43805814 0.17146364
404 0.37322152 0.43136013
819 0.3240066 0.62971056
266 0.41209114 0.26255247
500 0.4464793 0.14095528
6 0.564899 -0.31451935
116 0.41775092 0.24911842
127 0.44078422 0.155798
445 0.50176126 -0.07905721
66 0.46357077 0.053876232
313 0.41049665 0.27290165
601 0.44049275 0.16355245
772 0.45586592 0.10156158
326 0.58152235 -0.3749763
561 0.440381 0.15559787
562 0.44998762 0.1149931
151 0.5839001 -0.3806083
880 0.504706 -0.084433556
294 0.47750667 0.015793113
890 0.40112838 0.31622207
349 0.5201392 -0.14691602
718 0.4650695 0.059904195
293 0.44214782 0.14647838
448 0.46371284 0.06808709
538 0.32395408 0.6245054
637 0.38778713 0.36909494
811 0.47965404 0.019113118
38 0.43653956 0.1745394
400 0.49730515 -0.054965477
662 0.33957842 0.5634453
735 0.41243437 0.27044976
748 0.47458225 0.031890087
28 0.43443885 0.18811888
840 0.35112596 0.5158717
431 0.45550966 0.10156998
331 0.48306733 -0.008762363
432 0.44533452 0.14424792
214 0.38248843 0.39194402
297 0.43680346 0.17422731
81 0.38395056 0.38330182
995 0.3913537 0.3533639
732 0.4833565 -0.00865218
787 0.57094353 -0.33719045
271 0.49273515 -0.04687946
547 0.41745216 0.25037608
107 0.5306576 -0.18705659
698 0.49565578 -0.054907482
740 0.4428167 0.1441572
941 0.4538277 0.11107497
757 0.39055055 0.34502342
44 0.46502724 0.060916927
893 0.4566309 0.10386803
842 0.4236145 0.23066035
15 0.5445884 -0.23974602
35 0.42040706 0.24301271
497 0.4621552 0.07671571
429 0.4899521 -0.034606747
243 0.42001182 0.23971818
476 0.44128388 0.1546415
392 0.4592908 0.09031578
310 0.4330955 0.18995963
723 0.39418706 0.3402443
888 0.56576806 -0.31124163
102 0.42413712 0.22652923
680 0.39276063 0.3529508
121 0.38338548 0.38799596
781 0.46943843 0.050251782
779 0.45920798 0.08813184
401 0.36070788 0.4765601
978 0.51735145 -0.13694856
598 0.4607522 0.08501703
395 0.49806672 -0.06527624
25 0.5147806 -0.12625693
928 0.49457043 -0.052531734
725 0.45060393 0.12794246
674 0.43624508 0.17140959
251 0.48986137 -0.031736776
501 0.41502374 0.26367295
373 0.4256161 0.21473476
543 0.38654354 0.3692694
449 0.49058357 -0.033644132
300 0.39656645 0.32646915
389 0.45501164 0.10275198
786 0.36680332 0.45598304
519 0.5106417 -0.11234025
8 0.5693221 -0.33580026
351 0.36548913 0.4593917
986 0.396898 0.32986647
14 0.4236072 0.21846592
618 0.520385 -0.14681543
383 0.50615865 -0.09994105
427 0.44553298 0.14388785
49 0.35729516 0.48169944
