100 2
3 -1.1087005 -0.05213797
4 -1.1916089 -0.44685498
2 -1.1484636 -0.2740413
0 -1.1689723 -0.2318014
1 -1.1699523 -0.14288312
58 -1.0939023 -0.106746815
89 -1.0366579 0.21144775
94 -1.0422608 -0.023354547
84 -0.9897217 0.2664858
69 -1.0147687 0.123530544
85 -1.0607538 0.13013345
93 -1.0521553 0.40235057
27 -1.0140507 0.15779017
20 -1.027915 -0.0750884
6 -1.0319837 0.08409177
65 -1.0964687 -0.005682825
14 -1.1076324 0.27924758
39 -1.0607669 -0.103713095
49 -1.0598674 0.2509659
82 -1.0592787 0.3807077
99 -1.0446324 -0.107102424
19 -1.0495343 0.07290851
35 -1.0306637 0.15658996
23 -1.0529284 -0.064195804
5 -1.0930327 0.036661558
46 -0.99411935 0.0824527
86 -0.99589014 0.28002256
96 -1.0804967 0.035755206
72 -1.0669196 0.17757575
33 -1.0866872 0.09726377
57 -1.047065 0.13726152
15 -1.0121831 0.18324241
83 -1.0375578 0.016198693
11 -1.0194473 0.08925109
37 -1.0516708 0.12904248
13 -0.9734293 0.36220074
70 -1.0083344 0.10261446
74 -1.0771645 0.115575925
47 -0.9822169 0.19629526
26 -1.1188649 -0.07563253
32 -1.0713485 0.2527774
36 -1.0999126 0.12887533
31 -1.0071627 0.27840263
80 -1.0939194 0.12472548
28 -1.0611506 0.32613865
75 -1.0589267 0.18680468
8 -1.0147347 0.12835272
55 -1.0263851 0.15915416
81 -1.0218078 -0.15467034
59 -1.0959277 0.6478344
12 -1.0970948 0.10245262
48 -0.9949638 0.15016095
34 -0.97812253 0.017839685
53 -1.0466061 0.07135934
76 -1.0631225 0.28631076
77 -1.0812773 -0.16802795
51 -1.0426679 0.25961375
91 -1.0578828 0.23394907
16 -0.9674147 0.1392988
64 -1.0932938 0.11755761
79 -1.0395799 0.14503708
71 -1.0037117 0.22173661
41 -0.98970866 0.18833789
56 -1.021135 0.17980906
43 -1.0537004 0.041316718
40 -1.0638313 0.31201106
61 -0.9695176 0.18489161
66 -1.0125055 0.24888714
29 -1.0670726 -0.042137723
88 -1.0714341 0.35118484
7 -1.0422413 -0.028399803
95 -1.0067196 0.17546514
98 -1.0736773 0.09826578
18 -1.0126044 0.48415327
9 -1.0239767 -0.018900989
25 -1.0368612 0.15436608
10 -1.0240268 0.32450342
42 -1.0361602 0.036539253
92 -1.0607642 0.42800722
24 -1.0717701 -0.14304172
50 -1.0453122 0.014942754
22 -1.0892496 0.037703436
30 -1.1230567 0.09283376
97 -1.0033541 0.44529456
73 -1.0761849 0.08867866
45 -1.0751016 0.0800654
62 -1.0045239 0.25308624
63 -1.0554782 0.22675315
44 -1.0346361 0.23962548
67 -1.0372932 0.093869835
17 -1.007858 0.07155195
90 -1.0301425 -0.0271331
21 -1.0663807 0.13264713
52 -1.0252644 0.0875273
68 -1.0102353 0.14182098
78 -1.1033367 -0.0042878804
87 -0.98058707 0.36910552
60 -1.0704658 -0.07345207
38 -1.0243492 0.38309145
54 -1.0182899 0.09885158
