G5E962 Q9URQ5
P43365 P28004
P43355 P28004
P19012 P28004
P28004 Q8IYF3-3
Q5T124-6 P28004
Q5JR59-3 P28004
P28004 Q8WWB3
P28004 Q8TAP6
P28004 Q8NHQ1
Q8N6Y0 P28004
Q9UDV6 P28004
Q9NSC5 P28004
P28004 Q96MT8-3
P28004 Q8WXE1-3
P28496 Q8N6L0
P14136 P28272
P28004 Q9Y6D9
Q9Y3Q8 P28004
Q9UKT9 P28004
EBI-11522976 P29703
Q96KN7-4 P29461
P29461 P51116
P28777 Q15025
A0A087X1U9 P29703
Q9BTE3-2 P30665
Q8NA61-2 P29703
P29703 Q15025
P32335 A0A0C4DGF1
P31412 Q96CN9
P31384 Q9UFF9
P37198 P31384
Q96IQ6 P31384
A0A0C4DGS5 P32354
P32342 Q9H190
A0A0C4DGS5 P32335
P32453 Q15041
P32449 P35520
Q8IZ13 P32381
P32354 P51116
Q96DZ9-2 P32453
P32453 Q969L2
P32453 Q8N6L0
Q6RW13-2 P32453
P32458 Q15019-3
P63279 P32458
P32458 P23497-2
P32458 B0QYN7
P32463 O43281-2
H0YCX2 P32463
Q9Y2J4 P32458
Q86WT6-2 P32464
P14373 P32464
O14879 P32464
P32464 A0A0C4DGS5
P32464 Q9BYV6-2
Q9BRK4 P32464
P32464 Q8NA61-2
P32464 Q8N3J3-3
EBI-11522976 P32502
P26641 P32497
Q86UW9 P32477
Q9P286 P32474
P32502 A0A0R4J2E4
P32502 A0A0C4DFM0
P32502 EBI-11525577
P32502 H3BTW2
P32502 G5E962
P32502 O15156-2
P32502 O14964
O14641 P32502
I6L8A6 P32502
P32502 O60232
P32502 O43809
O43597 P32502
O15217 P32502
O95273 P32502
O95197-3 P32502
O76083-2 P32502
P32502 O75506
P32502 P07910-2
P04271 P32502
P00492 P32502
O96006 P32502
P15531 P32502
P32502 P14373
P14174 P32502
P08727 P32502
P32502 P19012
P38432 P32502
P35520 P32502
P32502 P20591
P48775 P32502
P32502 P43365
P32502 P43356
P61289 P32502
P32502 P56279
P55212 P32502
P49247 P32502
Q00796 P32502
P98170 P32502
P63279 P32502
P32502 P61457
Q13155 P32502
Q13049 P32502
Q03393 P32502
Q53EZ4 P32502
Q14749 P32502
Q13554-3 P32502
Q13490 P32502
P32502 Q5JR59-3
Q53G59 P32502
Q9BQD3 P40368
P40454 O76083-2
P40454 O15156-2
P40454 G5E962
P40454 A2A369
P40446 Q15645
P40368 Q9Y3C0
Q9HCM9-2 P40368
P48775 P40454
P40454 P38432
P35638 P40454
P40454 P19012
P40454 P15531
P40454 P14373
O96006 P40454
P40454 Q96MT8-3
Q96GX9 P40454
Q96CV9-2 P40454
Q96CV9 P40454
P40454 Q8TC20-4
P40454 Q8NHQ1
Q8NA61-2 P40454
P40454 Q8N7W2-2
Q5JR59-3 P40454
P81877 P40454
A0A0C4DGS5 P40455
P40454 Q9Y3Q8
P40454 Q9Y3A3
Q9Y2J4 P40454
P40454 Q9UJV3-2
Q9UI14 P40454
P40454 Q9NR46
Q9H257-2 P40454
P40454 Q9BRK4
Q93062-3 P40473
P40473 Q6P1W5
P63279 P40473
Q96BA8 P40471
O14964 P40460
P40455 Q9Y3Q8
P40455 Q9BRK4
P40455 Q8N9N5-2
Q5JR59-3 P40455
O14641 P40455
O43186 P40482
G5E962 P40481
P40482 Q9Y2W2
P40482 Q9UPT5-1
P40482 Q9BYV6-2
Q96BR9 P40482
P40482 Q5T124-6
P40482 Q5JST6
P40482 P48775
O76081-6 P40482
P40507 P15622-3
P07910-2 P40507
O14641 P40507
P40507 EBI-11522976
Q96BA8 P40501
Q9Y2D8 P40498
P40491 O95273
P40487 Q9BQC3
P40554 EBI-11531492
Q96BA8 P40533
Q8N6L0 P40533
P40507 Q96IK5
Q8WV44 P40507
P40507 Q8WTR7
P40507 Q8NHQ1
P40507 Q5VWX1
P38159 P40507
P40956 O43251-3
P40956 O43186
O14641 P40956
P40956 A0A0A0MQZ8
Q96BA8 P40857
Q96B96 P40581
P40567 Q8N6L0
P56279 P40560
P40560 P26641
EBI-11522976 P40560
P40956 Q9BQY4
Q96MA1 P40956
P40956 Q93062-3
P40956 Q92734
P40956 Q8N684-3
Q6P1W5 P40956
P40956 Q15038
P40956 P63279
P40956 P23511-2
P40692 P42843
Q96BA8 P42836
P41911 Q8NHQ1
Q13137 P41911
Q12800 P41902
P40959 O43791
P40958 Q5JR59-3
P40956 Q9NRA8-2
Q9NRA8 P40956
P40956 Q9NP66
P43556 Q8WW24
P43552 P46379-2
P42947 Q99750
P42944 A0A0C4DGS5
Q9UFD9 P42937
P42937 EBI-11522976
Q9H190 P42846
Q9GZT8 P43588
P43569 O43639
Q9UJ70-2 P43556
P46678 Q9UL45
P46678 Q9P1Z2
P43618 O95198
P43592 Q8N6Y0
P19012 P43592
P43592 O95751
P46945 Q9UJV3-2
P46682 Q8NHQ1
P46682 P61289
Q9Y281 P46680
P63261 P46680
P46680 P60709
P46680 P40123
Q8N6L0 P46956
P46948 Q9Y3Q8
P46948 Q9UKT9
Q96L14 P46948
P46948 Q8TAP6
Q8IYX7 P46948
P20807-4 P46948
A0A0C4DGS5 P46948
P47041 EBI-11524292
P47041 EBI-11522976
Q8N6L0 P47013
Q8WV44 P47009
P46985 P63279
P46965 Q8N6L0
Q96BA8 P46956
Q15654 P47041
P19012 P47041
P47041 P14373
P14136 P47041
P08727 P47041
P47041 A0A0R4J2E4
A0A0C4DGS5 P47041
P47041 Q8NHQ1
Q8NA61-2 P47041
Q8IYF3-3 P47041
Q8IYA8 P47041
P47041 Q5JST6
P47041 Q5JR59-3
P47041 Q9UKT9
P47041 Q9UJV3-2
Q9UFD9 P47041
P47041 Q9P286
Q96EY1-3 P47041
P47041 Q8WXE1-3
Q8WWB3 P47041
Q9UJW9 P47086
P47086 Q9NWT6
Q9C0F1 P47086
P47086 Q16637-3
P47086 Q16637
P47086 P78356-2
Q9Y2D8 P47041
P47130 Q8NHQ1
Q96BA8 P47124
P19012 P47121
P14136 P47121
Q96BA8 P47111
P47107 Q9HCM9-2
O43765 P47094
Q96BA8 P47088
Q96H20 P47142
P47141 O00444
P47133 Q8N6Y0
P47133 A4D127
P19012 P48232
P08727 P48232
Q96BA8 P47190
A0A024R4Q5 P47167
P47162 Q15038
Q96BA8 P47155
Q96H20-2 P47142
P48232 Q9BUW7
P23497-2 P12612
O43379 P25372
O95073-2 P25372
P25343 P14136
EBI-11524292 P25372
P25372 O14641
O76083-2 P25377
P25372 P19012
P01100 P25372
P25372 A0A0C4DGS5
P14373 P25372
A0A0C4DGS5 P26343
P24278 P25638
O95751 P25586
O14874 P25631
P25635 O00635
O15156-2 P28004
P26448 O15156-2
P10644 P27344
P19012 P28004
A0A087X1U9 P29703
P28272 P14136
P28004 O95751
A0A0C4DGS5 P28004
P28004 P14373
P31153 P19358
P29703 EBI-11522976
P30260-2 P15873
P10659 P31153
P32458 P23497-2
P32354 A0A0C4DGS5
P31384 Q96IQ6
A0A0C4DGF1 P32335
A0A0C4DGS5 P32335
A0A0C4DGS5 P32464
B0QYN7 P32458
P32463 H0YCX2
O43281-2 P32463
H3BTW2 P32502
O14879 P32464
P14373 P32464
P26641 P32497
I6L8A6 P32502
O15156-2 P32502
P32502 P04271
P32502 O76083-2
P32502 O14964
P32502 O14641
O75506 P32502
P32502 P07910-2
P32502 P08727
P14174 P32502
G5E962 P32502
O60232 P32502
P19012 P32502
O15217 P32502
O43809 P32502
P00492 P32502
P32502 P14373
P32502 EBI-11525577
P32502 P15531
O95273 P32502
A0A0C4DFM0 P32502
P32502 EBI-11522976
P32502 O96006
A0A0C4DGS5 P32529
A0A0R4J2E4 P32502
P32502 P20591
O95197-3 P32502
P32502 O43597
P32601 P26641
P32562 P14859-6
EBI-11523568 P32571
O94972 P32571
P32844 EBI-11522976
A0A0C4DGS5 P32831
P32610 P19012
P32622 O95544
P32622 P19474
H3BTW2 P32902
P32902 O95273
P13196 P32902
P33417 B0QYN7
P32902 EBI-11525577
O95751 P32902
P33297 P18848
P35180 O43765
P33750 O14641
P35176 O43681
O43765 P35176
P35520 P32502
P35184 P14373
P35184 A0A0C4DGS5
P32449 P35520
O43765 P36057
P36009 P19012
P35719 O95273
A0A024R4Q5 P35719
P07954 P35719
A0A0C4DGS5 P36084
P36084 O14641
P36084 EBI-11522976
P31384 P37198
P36406 P32902
A0A0C4DGS5 P36149
P19012 P36086
P38128 A0A0C4DGS5
P38128 P14373
P38011 O43765
P38128 O14641
O00505 P38128
P38168 O43765
P38151 A0A0C4DGS5
P09012 P38151
P38159 P32505
P38234 EBI-11522976
P38182 O43379
P38182 O60238
