G5E962 Q9URQ5
P53286 Q5VWN6
Q5VWX1 P38340
Q6RW13-2 Q12259
Q6RW13-2 P04819
Q02724 Q6RW13-2
Q6RW13-2 P18496
Q6RW13-2 P24280
P53286 Q6P1W5
P38868 Q6P1W5
Q6P1W5 Q04307
P40014 Q6P1W5
Q6RW13-2 P32453
Q6RW13-2 P38815
Q6RW13-2 P49017
P38340 Q6RW13-2
Q12161 Q7L190
P00431 Q6RW13-2
P32562 Q7L5A3
Q7LHD1 Q03393
P25299 Q7Z3B4
P32505 Q86SE5-3
Q86UW9 Q06389
P38744 Q7L190
P25372 Q8IUQ4-2
Q86UW9 P38340
Q86UW9 P32477
Q86V42-3 P13186
Q86WT6-2 P38340
Q86WT6-2 P32464
P32502 Q86WT6-2
P38340 Q8IUQ4-2
P01097 Q8IUQ4-2
Q8IUQ4-2 P32502
Q8IUQ4-2 P39518
Q8IYA8 Q12329
Q8IYA8 Q04307
Q8IYA8 P53286
Q8IYA8 Q02647
Q8IYA8 Q12259
P38340 Q8IXK0-5
P38206 Q8IV61
P53243 Q8IUQ4-2
Q8IYA8 P47041
Q8IXK0-5 P35184
Q8IYA8 P53038
Q8IYA8 Q12527
Q06678 Q8IYF3-3
Q8IYF3-3 P28004
Q8IYF3-3 P87108
P32902 Q8IYF3-3
P14907 Q8IYF3-3
P47041 Q8IYF3-3
Q8IYA8 Q06819
Q8IYA8 P32502
Q8IYA8 P25372
Q8IYF3-3 P26343
Q8IYF3-3 P38763
Q8N0S2 P15807
Q8N0S2 P38340
Q8IZ13 P32381
P46948 Q8IYX7
Q8IYX7 P53286
Q8IYX7 P15303
Q02831 Q8IYF3-3
P38340 Q8N6K7-2
P53286 Q8N6K7-2
Q8N0S2 Q06543
P32464 Q8N3J3-3
Q8N4C7 P25635
Q8N684-3 P20081
P39996 Q8N6G5
Q8N684-3 P20053
Q8N684-3 P40956
P0CD91 Q8N6L0
P36019 Q8N612
Q12431 Q8N6L0
Q08144 Q8N6L0
Q03714 Q8N6L0
Q8N6L0 Q12746
P38084 Q8N6L0
Q8N6L0 P35179
P12945 Q8N6L0
Q8N6L0 P38842
Q03860 Q8N6L0
Q8N6L0 P38206
P40567 Q8N6L0
Q02724 Q8N6L0
Q8N6L0 P38736
P47013 Q8N6L0
Q8N6L0 P28496
Q01590 Q8N6L0
Q6Q595 Q8N6L0
Q8N6L0 P46965
Q8N6L0 P39996
Q8N6L0 P40312
Q04969 Q8N6L0
P40533 Q8N6L0
Q8N6L0 P32502
Q12118 Q8N6L0
Q8N6L0 P38695
P46956 Q8N6L0
Q8N6L0 P32453
P06197 Q8N6L0
P23968 Q8N6L0
Q8N6L0 Q12382
P53012 Q8N6L0
P53142 Q8N6L0
Q8N6L0 Q06616
P53730 Q8N6L0
P53906 Q8N6L0
Q12259 Q8N6L0
Q8N6L0 P38837
Q03579 Q8N6L0
P53337 Q8N6L0
P40014 Q8N6Y0
P35180 Q8N6Y0
P43592 Q8N6Y0
Q8N6Y0 P28004
P26448 Q8N6Y0
P48232 Q8N6Y0
Q8N6L0 P11972
Q02831 Q8N6Y0
P47133 Q8N6Y0
Q8N6Y0 P20053
Q8N6Y0 P32571
Q06162 Q8N6Y0
EBI-11522208 Q8N6Y0
Q8N6Y0 P48837
Q8N7W2-2 Q12161
Q8N7W2-2 P35184
P40454 Q8N7W2-2
Q8N7W2-2 P38151
Q04307 Q8N7W2-2
P32902 Q8N6Y0
Q8N7W2-2 Q12055
Q12511 Q8N9N5-2
Q8N9N5-2 Q06011
Q04599 Q8N9N5-2
Q8N7W2-2 P25372
Q8N9N5-2 P40455
Q8N7W2-2 P39518
Q8N9N5-2 P25566
P35192 Q8N9N5-2
Q8N9N5-2 P25372
Q8N9N5-2 P35184
P39724 Q8N9N5-2
Q8N9N5-2 Q10740
P32464 Q8NA61-2
P32902 Q8NA61-2
Q8NA61-2 Q07732
Q06892 Q8N9N5-2
Q8NA61-2 P38340
Q8N9N5-2 Q12329
P26448 Q8NA61-2
Q04307 Q8ND30
P32502 Q8NA82
Q8NA61-2 P29703
Q8NA61-2 P47041
P48232 Q8NA61-2
Q8NA61-2 P40454
Q8NA61-2 P32502
P36019 Q8NEU8
Q8NEU8 P36018
P38340 Q8NDC0
Q8NEC5 Q07986
Q8NDC0 P53829
Q8NEH6 EBI-11522371
Q8NHQ1 P32502
P38340 Q8NHQ1
Q8NHQ1 P40454
Q8NEU8 P40303
P25372 Q8NF99-2
Q8NF64 P38635
Q8NFF5-2 P32502
Q8NHQ1 Q12460
P46682 Q8NHQ1
P25372 Q8NHQ1
Q8NHQ1 P39724
Q06132 Q8NHQ1
Q8NHQ1 P32902
Q8NHQ1 P53286
P47130 Q8NHQ1
P53335 Q8NHQ1
Q8NHQ1 P35180
Q02724 Q8NHQ1
P47041 Q8NHQ1
P40348 Q8NHQ1
P41911 Q8NHQ1
Q8NHQ1 P20053
P38340 Q8NHQ1-3
Q8NHQ1 Q06411
P28004 Q8NHQ1
EBI-11522371 Q8NHQ1
Q03338 Q8NHQ1
Q8NHQ1 P40507
P28004 Q8TAP6
P38340 Q8TAP6
Q8NHQ1-3 P32502
Q8TAP6 P38792
P40302 Q8TAP6
P13130 Q8TAP6
Q07379 Q8TAP6
P38828 Q8TAP6
P32502 Q8TAP6
P38263 Q8TAP6
P25631 Q8TBB1
Q8TBB1 P22803
Q12245 Q8TAP6
Q04307 Q8TAP6
Q04978 Q8TAP6
P46948 Q8TAP6
Q8TGM2 Q15654
Q06819 Q8TBB1
O14468 Q8TC20-4
P40454 Q8TC20-4
Q8WTR7 Q12161
Q8TGQ7 Q12846
Q8N9N5-2 Q8TGM2
EBI-11524292 Q8TGM2
Q8TGQ7 Q8N6L0
P40507 Q8WV44
Q8WV44 Q12259
P40507 Q8WTR7
Q8WTU0 P10507
P40087 Q8WTU0
Q8WV44 P53286
P43556 Q8WW24
Q02821 Q8WVF5
P47009 Q8WV44
P35182 Q8WV92
P38340 Q8WVF5
P28004 Q8WWB3
P47041 Q8WWB3
Q8WW34-2 P38340
P38736 Q8WW34-2
Q8WW34-2 P38815
Q8WWB3 P53829
Q8WXE1-3 P32502
Q8WXE1-3 P32902
Q8WWB3 Q07978
P32902 Q8WWB3
P47041 Q8WXE1-3
Q8WZ19 Q12354
Q8WXE1-3 P25377
Q8WXE1-3 P53286
P28004 Q8WXE1-3
Q92734 Q12259
Q92734 P40956
P38182 Q92609
Q07540 Q92609
P38302 Q92733
Q92997 P33750
P05738 Q92997
Q08686 Q92748
Q92841 EBI-11522220
Q06630 Q92997
Q93062-3 P35184
Q93062-3 P38340
P25566 Q93062-3
P40473 Q93062-3
P40956 Q93062-3
Q93062-3 Q04307
P15365 Q969F0
EBI-11522506 Q969F0
Q93062-3 Q8TGQ8
Q12484 Q93062-3
Q03020 Q93062-3
P32902 Q93062-3
P53262 Q969F0
Q08144 Q969F0
Q12006 Q969F0
P38340 Q969F0
Q969F0 P25656
P48362 Q969G2
Q06616 Q969F0
Q969F0 P54074
P25353 Q969F0
Q969F0 EBI-11522494
P52870 Q969F0
Q12161 Q969J2
P36001 Q969G2
Q969J2 Q03020
P37263 Q969J2
P32502 Q969V4
Q969L2 P32453
Q969K4 P53212
Q969L2 P00431
P04819 Q969L2
Q96B96 P40581
Q96AT9 P32502
Q03768 Q96AA8
Q96AA8 P38340
Q96AA8 P26448
Q96BA8 Q04969
Q96BA8 EBI-11522518
Q96BA8 P05375
Q96BA8 P46956
Q96BA8 Q12006
Q96BA8 Q06144
Q96BA8 P42836
Q96BA8 P47088
Q96BA8 P38736
Q96BA8 P47190
Q96BA8 P23968
Q96BA8 P53173
Q96BA8 Q03362
Q96BA8 P53906
Q96BA8 P40152
Q96BA8 P47111
Q96BA8 P40857
Q96BA8 P40107
Q96BA8 P38842
Q96BA8 Q8TGQ7
Q96BA8 Q12382
Q96BA8 Q12078
Q96BA8 P40501
Q96BA8 Q03697
Q96BA8 P40471
Q96BA8 P38374
Q96BA8 Q12207
Q96BA8 P40533
Q96BA8 P53053
Q96BA8 P38695
Q96BA8 P50076
Q96BA8 P25619
Q96BA8 P38894
Q96BA8 Q12746
Q96BA8 P52870
Q96BA8 P40260
Q96BA8 Q02774
Q96BA8 P40074
P36118 Q96BD8
Q96BA8 P38775
Q96BA8 P47124
Q96BA8 P47155
Q96BR9 P25372
P48232 Q96BD8
Q06132 Q96BR9
P36009 Q96BR9
P38340 Q96BR9
P39518 Q96BR9
Q07732 Q96BR9
P32502 Q96BR9
Q96BR9 P25586
Q96C32 P40325
Q96BR9 Q03338
Q96BR9 P40482
P12612 Q96BR9
Q96BR9 Q12259
Q96CG3 P32502
P38340 Q96CD2
Q08438 Q96CD2
Q96CD2 P32502
Q96CV9 P40325
Q96CN9 P31412
Q12083 Q96CN4
P53949 Q96CN4
Q96CN9 Q07732
Q96CV9 P40302
P40454 Q96CV9-2
Q96CV9 P01123
P40454 Q96CV9
Q12329 Q96D09
P22217 Q96D03
P40302 Q96CV9-2
P40325 Q96CV9-2
P01123 Q96CV9-2
P22803 Q96D03
Q96DZ9-2 P32453
Q05515 Q96DZ9-2
P38340 Q96DZ9-2
Q96DZ9-2 Q02724
Q96DZ9-2 Q07540
Q96DZ9-2 P00431
P32902 Q96ED9-2
Q96ED9-2 O13541
P24280 Q96DZ9-2
P38148 Q96ED9-2
Q96DZ9-2 P04819
Q96ED9-2 P32571
Q96EV8 P48232
P32610 Q96EV8
P17695 Q96EQ0
P35176 Q96EQ0
Q04110 Q96EV8
P38182 Q96GX9
P52870 Q96G97-4
Q96EY1-3 P38340
Q96EY1-3 P54784
Q96EY1-3 P32502
Q96EY1-3 P47041
Q96H20-2 P47142
P47142 Q96H20
P40454 Q96GX9
P38822 Q96GY0
Q96H20 Q04272
Q96L14 P48232
P48232 Q96EV8
Q96BD8 P48232
Q8NA61-2 P48232
P48232 Q8N6Y0
P48232 P37198
P48837 A0A0C4DGS5
Q99598 P48606
O14641 P48510
Q9UHV2 P48362
P48362 Q969G2
P48232 Q9NPJ6
P48837 Q5JR59-3
P43365 P48837
P37198 P48837
P19012 P48837
P48837 P13196
H3BTW2 P48837
P49955 Q9UHX1-2
Q9H4P4 P49723
P63279 P49723
P49090 P26641
Q53EZ4 P49089
Q6RW13-2 P49017
P48837 Q9NPJ6
P48837 Q8N6Y0
Q9NXK8 P52286
Q9NVF7 P52286
P50076 Q96BA8
P49955 Q9UHX1-6
P49955 Q9UHX1-5
Q9BSE2 P52870
Q96HH9 P52870
P52870 Q96G97-4
Q96BA8 P52870
Q969F0 P52870
P52870 J3KQ12
Q5JST6 P53038
Q8N6L0 P53012
P52917 Q9HCM9-2
P52917 Q5T124-6
P43355 P53102
Q96BA8 P53053
P53051 P38646
Q9UJV3-2 P53038
Q8IYA8 P53038
P53174 P63279
Q96BA8 P53173
P53142 Q8N6L0
Q9H0B3-3 P53141
P53140 P43355
P53129 Q9Y2J4
P53176 P63279
Q9Y371 P53218
Q969K4 P53212
P53202 Q9H898-2
P53202 Q96IK5
P53202 O95198
O43791 P53202
P53243 Q96S82
P53243 Q8IUQ4-2
P63279 P53243
A0A0C4DGF1 P53286
P53286 EBI-11522976
P61289 P53278
O43791 P53278
P53262 Q969F0
P53255 Q2TAC2-2
P63279 P53252
Q5T124-6 P53286
P53286 Q53G59
Q13164 P53286
P53286 P63279
P53286 P14373
Q6P1W5 P53286
P53286 Q6IBW4
Q5VWN6 P53286
P53286 Q8WXE1-3
Q8WV44 P53286
P53286 Q8NHQ1
Q8N6K7-2 P53286
P53286 Q8IYX7
Q8IYA8 P53286
O95197-3 P53296
EBI-11533440 P53296
P53286 Q9UKT9
P53286 Q9NRA8
Q96Q35-2 P53286
O14641 P53305
P53296 Q9UI14
Q9NQC3-3 P53296
Q15041 P53296
Q8N6L0 P53337
Q15437 P53337
Q9NVV9 P53335
Q8NHQ1 P53335
P49366 P53331
A0A0C4DGS5 P53829
Q8N6L0 P53730
P53617 O95751
O14641 P53617
P53583 A4D127
P14136 P53829
P13196 P53829
P53829 P00492
P53829 H3BTW2
P53829 Q5D1E8
P53829 Q15427
P53829 P53992
P42575 P53829
P53829 P37198
P32321 P53829
P53829 Q9BQY4
Q96IK5 P53829
P53829 Q8WWB3
Q8NDC0 P53829
P53829 Q9BW62
Q9H9H4 P53829
Q9NRG1 P53829
P53829 Q9NVV9
Q9Y2J4 P53829
P53833 O95273
Q96HR9 P53845
P53900 A0A024R4Q5
P43365 P53900
Q15041 P53845
Q12800 P53900
P53906 Q8N6L0
Q96BA8 P53906
P43365 P53923
Q6P1W5 P53919
P53927 Q9H190
P53933 A0A0C4DGS5
P53930 Q13155
P53930 Q53HC0
P14373 P53933
P53933 O95273
P53933 Q9Y5X1
P53933 Q9Y6D9
Q9UNF0 P53933
Q15642-2 P53933
Q969F0 P54074
Q53G59 P53953
P53949 Q96CN4
P54860 Q9UMX0
P54791 A0A0C4DGS5
Q15038 P54787
P54787 O14641
P54784 Q96EY1-3
Q9UMX0 P61829
P60010 P63279
P60010 P63261
P60010 P60709
P40123 P60010
Q8IYF3-3 P87108
P87108 P43356
P69851 Q9UPT5-1
P69851 H3BTW2
P89886 O43583
P89105 Q5VWN6
Q14596-2 P89105
Q01976 G5E962
Q9UI14 Q01590
Q01590 Q8N6L0
Q01589 O95994
Q00618 O76083-2
Q02209 Q9HCM9-2
Q9UGJ1-2 Q01976
Q9H8Y8 Q01976
Q01976 Q13490
P98170 Q01976
O96015 Q02647
P55347 Q02642
Q02642 A4D127
Q9Y5P8-2 Q02256
Q8N6L0 Q02724
Q02724 Q6RW13-2
Q15041 Q02724
Q8IYA8 Q02647
O00444 Q02793
Q96BA8 Q02774
Q02771 Q9UMX0
Q96DZ9-2 Q02724
Q02724 Q8NHQ1
Q02821 A0A0C4DGF1
Q96A10 Q02821
Q02793 Q5D1E8
Q02793 P38432
P20591 Q02821
Q02821 P13196
O00635 Q02821
Q02821 H3BTW2
Q13137 Q02821
Q02821 P63261
Q02821 P60709
Q02821 P35520
Q02821 P22234
Q15038 Q02821
Q02821 Q13867
Q13557-8 Q02821
Q9NS73-5 Q02821
Q9NS73 Q02821
Q9HAN9 Q02821
Q8WVF5 Q02821
Q02821 Q15041
O95751 Q02831
Q02831 H3BTW2
Q02831 A0A0C4DGS5
Q9NVV9 Q02821
Q02831 Q8IYF3-3
Q02831 P37198
P19012 Q02831
P14373 Q02831
Q02831 Q9C0F1
Q02831 Q9BW62
Q8N6Y0 Q02831
Q03020 P12268
Q02939 E9PFK9
Q02872 Q9NRF8
Q9UKT9 Q02831
Q03020 Q93062-3
Q13643 Q03020
Q03020 P61289
P19012 Q03020
Q03020 Q969J2
Q03063 P63279
P23497-2 Q03063
O14641 Q03063
Q03020 Q9Y3Q8
Q03338 Q13422-7
Q03338 O14641
Q03262 O43809
Q13422-7 Q03233
Q96BA8 Q03362
Q9C0F1 Q03338
Q03338 Q96BR9
Q8NHQ1 Q03338
Q03579 Q8N6L0
Q9BQY4 Q03373
P63279 Q03373
Q03373 P31947
Q9BSE4 Q03362
Q03654 Q96MT8-3
Q03654 Q5JR59-3
Q03654 G5E962
Q03718 Q9Y6D9
Q03718 P63279
Q8N6L0 Q03714
Q96BA8 Q03697
Q03860 Q8N6L0
Q9NYB9-2 Q03782
Q03782 P43355
Q96AA8 Q03768
Q03759 Q5JST6
Q03973 Q0VDD7
Q03920 Q9BUY5
Q03920 O43186
Q04201 O43765
Q96EV8 Q04110
Q04110 P63279
Q5JST6 Q04087
P43356 Q03981
Q96H20 Q04272
Q9P1Z2 Q04264
O95198 Q04264
Q04201 Q9UMX0
Q13422-7 Q04307
P32321 Q04307
Q04307 O94993
Q04307 H3BTW2
Q8IYA8 Q04307
Q04307 Q6P1W5
Q15645 Q04307
Q8TAP6 Q04307
Q8ND30 Q04307
Q04307 Q8N7W2-2
Q04307 Q9UJW9
Q04307 Q9NNX1-2
Q93062-3 Q04307
EBI-11522976 Q04638
Q01658 Q04603
Q8N9N5-2 Q04599
A2A369 Q04461
Q9Y2D8 Q04712
Q04712 Q9UPY8
Q04712 Q96MT8-3
O95273 Q04712
Q04969 Q8N6L0
Q04712 Q9Y6K9
Q96BA8 Q04969
Q05164 G5E962
Q53G59 Q05021
Q04978 Q8TAP6
O60684 Q04978
O43765 Q05899
Q05637 Q9UI14
Q96DZ9-2 Q05515
O43791 Q05164
Q06011 Q8N9N5-2
P38432 Q05955
Q05947 P49760-3
Q05899 Q99614
Q53G59 Q06132
Q06132 P51116
P38432 Q06132
Q6UN15 Q06102
Q96MF2 Q06132
Q06132 Q96BR9
Q8NHQ1 Q06132
Q9HAN9 Q06178
Q06178 P63279
Q8N6Y0 Q06162
Q96BA8 Q06144
O15209 Q06287
P38159 Q06251
P62258 Q06251
Q06340 P63279
Q06411 Q05D60
P01011 Q06389
Q53EZ4 Q06411
Q8NHQ1 Q06411
P38432 Q06411
O75071 Q06408
Q86UW9 Q06389
EBI-11522976 Q06543
Q9UKT9 Q06411
Q9UJV3-2 Q06411
Q06411 Q9NS73-5
Q06543 Q8N0S2
Q9NS73 Q06411
Q06630 O95273
Q06630 O43586
O15156-2 Q06630
O14641 Q06630
A0A0C4DGS5 Q06630
Q06616 Q8N6L0
Q5SW96 Q06616
Q06616 Q969F0
Q06630 Q13137
Q06630 Q5JR59-3
Q06678 Q8IYF3-3
Q15437 Q06676
Q06630 O95751
Q06667 P51116
Q9UJV3-2 Q06630
Q92997 Q06630
Q13422-7 Q06671
Q06707 P19012
Q13137 Q06707
O43765 Q06810
Q8IYA8 Q06819
Q8TBB1 Q06819
Q06819 Q9BUT1
O95544 Q06892
Q8N9N5-2 Q06892
Q06707 P37198
Q07379 P35520
Q07379 A0A0C4DGS5
Q07379 Q9HCM9-2
Q07379 Q9Y2D8
Q07379 Q9Y2J4
A0A024R0Y4 Q07540
Q92609 Q07540
Q07732 Q53EZ4
Q07379 Q8TAP6
Q07540 Q96DZ9-2
Q07732 Q96BR9
O96006 Q07887
Q07821 Q13137
Q07732 Q9Y2J4
Q07732 Q96IK5
Q07732 Q96CN9
Q07732 Q8NA61-2
Q8NEC5 Q07986
Q07978 Q8WWB3
Q07978 Q15311
Q07978 G5E962
Q0VDD7 Q07951
Q08144 Q12846
Q07951 EBI-11522976
Q08204 Q9UKS7-2
Q08204 Q5JR59-3
Q08144 Q969F0
Q08144 Q8N6L0
Q08273 Q13620
O95198 Q08273
O43791 Q08273
Q08224 Q9C0F1
Q9Y2D8 Q08204
Q12006 Q969F0
Q10740 Q8N9N5-2
P62258 Q08981
Q08909 O14641
O00308 Q08909
Q08686 Q92748
Q08581 P63279
Q08438 Q96CD2
Q9UH77 Q08273
A0A0C4DGS5 Q12056
Q12055 Q8N7W2-2
Q12055 Q13164
O95751 Q12055
P63279 Q12020
Q12015 Q9NX47
Q96BA8 Q12006
Q12083 Q9BRK4
Q12083 Q96CN4
Q12083 O14641
Q96BA8 Q12078
Q12071 Q9H6J7-4
Q12056 Q9UJV3-2
Q9UJC3 Q12056
Q12056 Q5JR59-3
P00492 Q12056
Q12154 O43852-3
O95994 Q12140
Q12140 O15294-3
Q12134 Q9H190
Q12134 O14641
Q12118 Q8N6L0
O95994 Q12118
Q9BYV6-2 Q12100
E9PFK9 Q12161
Q12161 EBI-11522976
Q13164 Q12156
Q12154 Q9BXJ1-2
O95994 Q12154
Q12154 O95967
Q8WTR7 Q12161
Q12161 Q8N7W2-2
Q12161 Q7L190
Q5VSY0 Q12161
P38432 Q12161
P23511-2 Q12161
Q12161 P15622-3
Q9NTW7 Q12161
Q9NPA5 Q12161
Q9HCK0 Q12161
Q12161 Q9H9D4
Q12161 Q9BWC9
Q96Q35-2 Q12161
Q969J2 Q12161
Q12208 Q9P1Z2
Q12208 O95198
Q96BA8 Q12207
Q12206 P63279
Q12196 Q9H190
P48775 Q12181
Q12181 O14641
Q12161 Q9Y294
Q9NVV9 Q12161
O76083-2 Q12259
O60684 Q12259
Q12259 O43597
O00629 Q12259
Q12259 O00505
Q12245 Q8TAP6
Q12211 P35606
Q12259 Q8WV44
Q12259 Q8N6L0
Q8IYA8 Q12259
Q6RW13-2 Q12259
Q15041 Q12259
Q12259 Q15025
Q12259 P35520
Q9NWS6 Q12259
Q9NVV9 Q12259
Q9HCK0 Q12259
Q12259 Q9C0F1
Q12259 Q99750
Q12259 Q96IK5
Q12259 Q96BR9
Q92734 Q12259
P23497-2 Q12306
B0QYN7 Q12306
Q9Y2D8 Q12259
Q12259 Q9UJV3-2
Q12259 Q9P209
Q9HCK0 Q12306
P63279 Q12306
Q8IYA8 Q12329
Q12329 Q5T124-6
O15162 Q12329
Q12329 A0A024R0Y4
Q15911-2 Q12318
Q12318 O95751
Q12318 A0A0C4DGS5
Q9C040 Q12341
Q12329 Q99750
Q96MA1 Q12329
Q96D09 Q12329
Q12329 Q8N9N5-2
Q96BA8 Q12382
Q8N6L0 Q12382
P49760-3 Q12380
Q12354 Q8WZ19
Q12354 Q5JST6
Q12342 Q13137
Q12439 P63279
O75928-2 Q12439
O14641 Q12439
Q12431 Q8N6L0
Q12417 O94972
Q12417 A0A0C4DGS5
Q12389 O14641
Q12476 O14641
Q12460 Q8NHQ1
Q16637-3 Q12460
Q12460 Q16637
Q12446 Q9NYB9-2
Q12446 O43639
Q12446 O43586
Q8IYA8 Q12527
O43597 Q12527
Q8N9N5-2 Q12511
Q12484 Q93062-3
O14641 Q12481
Q12476 Q9BRK4
O43765 Q3E7B2
Q13490 Q3E793
P98170 Q3E793
O76003 Q3E793
Q96BA8 Q12746
Q12746 Q8N6L0
Q8N9N5-2 Q8TGM2
Q8TGM2 Q15654
Q8TGM2 EBI-11524292
Q7LHD1 Q03393
Q8N6L0 Q6Q595
Q3E7X9 Q9NPI6
O76003 Q99288
Q99189 Q13557-8
Q93062-3 Q8TGQ8
Q96BA8 Q8TGQ7
Q8TGQ7 Q8N6L0
Q8TGQ7 Q12846
Q15415 Q99383
Q99383 P38159
Q96EQ0 Q99380
Q99380 O43765
Q9Y2J4 Q99344
G5E962 Q9URQ5
Q5T124-6 P32502
Q8IYA8 P32502
P32502 Q8IUQ4-2
P32502 Q86WT6-2
P32502 Q5VSY0
Q8TAP6 P32502
P32502 Q8NHQ1-3
P32502 Q8NHQ1
Q8NFF5-2 P32502
Q8NA82 P32502
Q8NA61-2 P32502
Q8N6L0 P32502
Q96EY1-3 P32502
Q96CG3 P32502
Q96CD2 P32502
P32502 Q96BR9
P32502 Q96AT9
P32502 Q969V4
P32502 Q8WXE1-3
P32502 Q9NQC3-3
P32502 Q9NPJ6
P32502 Q9H773
Q9H0E2 P32502
P32502 Q9BQD3
P32502 Q9BQC3
Q9BPX1 P32502
P32502 Q96QF0-2
P32502 Q96HR9
P32502 Q96HD9
P32502 Q96HA8
P32502 Q9UHX1-5
Q9UDV6 P32502
P32502 Q9P286
Q9NWS6 P32502
Q9NVV9 P32502
P32502 Q9NTM9
Q9NSC5 P32502
P32502 Q9NRY6
Q9NRG1 P32502
P32502 Q9Y3Q8
P32502 Q9Y2D8
P32502 Q9UPY8
Q9UNE7 P32502
P32502 Q9UJX2
Q9UJV3-2 P32502
P32502 Q9UJC3
Q9UJ70-2 P32502
Q9UI14 P32502
P32502 Q9UHX1-6
P32562 Q7L5A3
P32562 Q13422-7
P32562 P63279
P14859-6 P32562
P32529 Q13422-7
P32529 A0A0C4DGS5
P32505 Q86SE5-3
P32505 P38159
P32502 Q9Y6D9
Q9NSC5 P32571
P32571 Q96MT8-3
Q96ED9-2 P32571
P32571 Q8N6Y0
P32571 Q5JR59-3
P32571 Q15025
O94972 P32571
P32571 EBI-11523568
Q96M27 P32562
P26641 P32601
Q99750 P32589
Q9Y6D9 P32571
P32622 P19474
O95544 P32622
Q15102 P32614
Q9BUW7 P32610
Q96EV8 P32610
P48775 P32610
P32610 P19012
P32902 H3BTW2
EBI-11525577 P32902
Q14558 P32895
P60891 P32895
EBI-11522976 P32844
P32831 Q15427
P32831 A0A0C4DGS5
Q9H190 P32796
P32902 Q8IYF3-3
Q5T124-6 P32902
Q5JR59-3 P32902
P32902 Q13137
P43361 P32902
P32902 P36406
P32902 P13196
P32902 O95751
P32902 O95273
P32902 Q96KN7-4
Q96HT8 P32902
Q96ED9-2 P32902
Q93062-3 P32902
Q8WXE1-3 P32902
Q8WWB3 P32902
P32902 Q8NHQ1
P32902 Q8NA61-2
Q8N6Y0 P32902
P33297 P62333
P33297 P18848
P32902 Q9UPY8
Q9H892-2 P32902
Q9BV19 P32902
Q9H190 P33322
P33299 Q16401
P33297 Q9Y2J4
Q9P2K3-2 P33297
P33417 P63279
P33417 B0QYN7
P34164 Q9BQ66
P34164 Q99750
Q92997 P33750
P33750 O14641
P33441 Q9BW62
O43765 P35180
P35179 Q8N6L0
P35176 Q9Y2W7
Q9UMX0 P35176
P35176 Q96EQ0
P46379-2 P35176
P35176 O43765
O43681 P35176
A0A0C4DGS5 P35184
P35182 Q8WV92
Q9UHV2 P35180
Q8NHQ1 P35180
Q8N6Y0 P35180
P35180 Q53EZ4
Q8IXK0-5 P35184
P35184 Q53EZ4
P35184 Q12800
P14373 P35184
Q9NVV9 P35184
P35184 Q99750
Q93062-3 P35184
Q8N9N5-2 P35184
Q8N7W2-2 P35184
P35192 Q8N9N5-2
P63279 P35192
A0A024R4Q5 P35719
Q9NSC5 P35191
Q9UJV3-2 P35184
Q13422-7 P36009
P19012 P36009
P36001 Q969G2
P35719 P07954
P35719 O95273
P36084 A0A0C4DGS5
P36084 EBI-11522976
P36057 O43765
Q8NEU8 P36019
P36019 Q8N612
P36018 Q8NEU8
P36009 Q96BR9
P36125 Q15437
Q96BD8 P36118
P36108 Q96L14
P36086 P19012
Q5VWX1 P36084
Q15415 P36084
P36084 O14641
O43765 P38011
P37263 Q9NP64
P37263 Q9HCM9-2
P37263 Q9H190
Q969J2 P37263
P37263 P63279
Q13422-7 P36534
P36149 A0A0C4DGS5
A0A0C4DGS5 P38128
Q14145 P38109
P38084 Q8N6L0
P38011 Q13829
P38128 O14641
O00505 P38128
Q8N7W2-2 P38151
P09012 P38151
A0A0C4DGS5 P38151
Q96ED9-2 P38148
P38128 Q9NRQ2
P38128 P62714
P38128 P14373
P38182 O43379
O43765 P38168
P38166 Q15437
P38151 Q9HCM9-2
P38151 Q9HAN9
P38151 Q96PU8
Q8N6L0 P38206
P38206 Q8IV61
P14373 P38203
P38182 Q9UH92-3
Q96GX9 P38182
P38182 Q92609
Q12983 P38182
O60238 P38182
Q9UJV3-2 P38260
P11142 P38260
O95273 P38260
P56279 P38251
P38247 Q9UNE7
EBI-11522976 P38234
P38263 Q15654
P38263 P14373
P38263 A0A0C4DGS5
Q9UKT9 P38261
P38261 A0A0C4DGS5
Q9UI14 P38295
Q96LP2 P38271
P14136 P38265
P38263 Q9UKT9
P38263 Q8TAP6
Q5SW96 P38263
P38334 O43617
Q96HH9 P38331
P63279 P38319
P38306 Q9BW62
P38302 Q92733
P43365 P38302
P38340 EBI-11528223
EBI-11528211 P38340
EBI-11522976 P38340
P38339 Q13490
O14641 P38339
A0A0A0MQS1 P38340
Q96A10 P38340
P38340 E7EUC7
P38340 A0A0R4J2E4
P38340 A0A0C4DFU2
P38340 O60232
O43791 P38340
O15217 P38340
O00635 P38340
P38340 O00463
H3BTW2 P38340
P38340 O95198
P38340 O95073-2
P38340 O95045-2
O75525 P38340
O75150 P38340
P38340 O60547
P07910 P38340
P38340 P07195
P38340 P02792
P38340 P00492
P38340 O96006
O95199 P38340
P38340 P35520
P38340 P23511-2
P38340 P20591
P38340 P15531
P12268 P38340
P38340 P07910-2
P38159 P38340
P38340 P48775
P38340 P38646
P38340 P38432
P49247 P38340
P61289 P38340
P38340 P62333
P63261 P38340
P60891 P38340
