x y mean-x mean-y std-x std-y
1 5 -0.024 -0.035 0.153 0.147
1 10 0.556 0.712 0.189 0.202
1 25 -0.188 -1.205 0.186 0.035
1 50 -0.622 0.944 0.197 0.129
1 100 1.003 -0.115 0.031 0.278
5 5 0.629 -1.061 0.156 0.102
5 10 -1.107 -0.340 0.062 0.205
5 25 -0.827 -0.530 0.153 0.238
5 50 -0.035 -0.827 0.290 0.012
5 100 0.340 -0.600 0.219 0.123
10 5 1.120 0.402 0.070 0.192
10 10 1.010 -0.277 0.073 0.266
10 25 -0.138 0.824 0.292 0.050
10 50 -0.691 0.061 0.023 0.255
10 100 0.523 0.249 0.101 0.212
25 5 -0.204 1.026 0.267 0.054
25 10 0.819 0.253 0.086 0.279
25 25 -0.498 0.434 0.163 0.188
25 50 0.505 0.219 0.092 0.213
25 100 0.106 -0.453 0.224 0.050
50 5 -0.796 0.429 0.144 0.267
50 10 0.636 -0.337 0.123 0.233
50 25 0.303 0.465 0.196 0.132
50 50 0.274 0.379 0.187 0.136
50 100 -0.073 -0.396 0.219 0.060
100 5 0.554 -0.526 0.200 0.211
100 10 -0.062 -0.600 0.244 0.025
100 25 -0.322 0.344 0.178 0.152
100 50 -0.307 -0.260 0.150 0.177
100 100 -0.276 -0.324 0.176 0.025
