x y mean-x mean-y std-x std-y
1 5 -0.001 0.038 0.124 0.138
1 10 -0.017 0.015 0.142 0.165
1 25 -0.016 -0.004 0.149 0.157
1 50 -0.585 -0.980 0.118 0.156
1 100 1.219 0.111 0.056 0.159
5 5 -0.030 -0.002 0.130 0.143
5 10 0.093 -0.147 0.155 0.163
5 25 1.223 0.059 0.035 0.201
5 50 1.129 -0.272 0.068 0.221
5 100 -0.826 -0.684 0.224 0.274
10 5 0.028 -0.021 0.152 0.147
10 10 0.575 0.695 0.148 0.156
10 25 1.084 -0.473 0.096 0.217
10 50 0.005 -1.081 0.324 0.032
10 100 -0.330 -0.907 0.560 0.186
25 5 -0.174 -0.335 0.165 0.154
25 10 1.192 0.271 0.078 0.182
25 25 1.058 -0.244 0.127 0.502
25 50 0.784 -0.524 0.313 0.503
25 100 0.384 -0.695 0.438 0.287
50 5 -0.260 -0.983 0.161 0.126
50 10 -0.757 0.918 0.420 0.329
50 25 0.026 -0.990 0.672 0.041
50 50 0.166 0.794 0.532 0.096
50 100 -0.109 -0.676 0.506 0.126
100 5 0.718 -0.988 0.236 0.217
100 10 1.134 -0.148 0.175 0.814
100 25 -0.788 -0.339 0.264 0.549
100 50 -0.692 0.009 0.026 0.511
100 100 0.576 0.074 0.047 0.483
