Degree Betweenness Closeness Clustering Eigenvector Membership
7 1821.81541537 0.17648443 0.00000000 0.00000000 20
5 8144.32772340 0.16455418 0.40000000 0.00000000 27
7 3310.70002540 0.16747641 0.09523810 0.00000000 9
8 5357.07299932 0.16970349 0.07142857 0.00000000 31
6 10250.82960911 0.16727090 0.20000000 0.00000000 31
3 2071.86553979 0.15790028 0.00000000 0.00000000 31
8 4888.56349768 0.17400638 0.03571429 0.00000000 31
6 15258.06512630 0.17082479 0.00000000 0.00000000 31
4 2884.59084369 0.16733623 0.00000000 0.00000000 26
7 3270.57386100 0.17250503 0.00000000 0.00000000 22
6 10856.42126744 0.17162642 0.06666667 0.00000000 22
9 5952.48953952 0.17611134 0.02777778 0.00000000 26
6 3612.37761291 0.17158714 0.00000000 0.00000000 22
5 13701.06117153 0.16665740 0.20000000 0.00000000 30
8 6446.42934739 0.17426928 0.03571429 0.00000000 3
4 424.69965590 0.16513408 0.00000000 0.00000000 22
5 21177.26187890 0.16903393 0.10000000 0.00000000 30
7 0.00000000 0.17713071 0.00000000 0.00000000 22
9 23510.66221190 0.17532885 0.00000000 0.00000000 16
5 7084.28519275 0.17254473 0.00000000 0.00000000 3
6 17353.00431785 0.17275346 0.00000000 0.00000000 28
6 7714.76648090 0.16910065 0.06666667 0.00000000 0
7 3574.14198613 0.17504232 0.04761905 0.00000000 0
7 22783.33709366 0.17146941 0.09523810 0.00000000 28
6 3329.73499963 0.17647405 0.00000000 0.00000000 20
6 11551.52698060 0.16651860 0.06666667 0.00000000 7
5 10283.25852030 0.16756062 0.10000000 0.00000000 28
6 7473.10866535 0.16862525 0.00000000 0.00000000 7
6 7025.41440145 0.16744835 0.00000000 0.00000000 28
8 2957.36073926 0.17452281 0.10714286 0.00000000 28
6 1048.41709957 0.16918651 0.20000000 0.00000000 22
4 434.85459900 0.16305116 0.50000000 0.00000000 28
6 2731.53208817 0.16934892 0.20000000 0.00000000 22
6 0.00000000 0.17513431 0.00000000 0.00000000 8
5 956.20127373 0.16818080 0.00000000 0.00000000 14
7 0.00000000 0.17352312 0.00000000 0.00000000 25
5 957.69137302 0.16760744 0.00000000 0.00000000 8
7 4580.10302481 0.17416807 0.00000000 0.00000000 16
5 5299.39014863 0.16699148 0.00000000 0.00000000 16
5 8994.94609781 0.16184566 0.10000000 0.00000000 5
5 1773.09182659 0.17087345 0.00000000 0.00000000 14
7 5384.38376601 0.16995353 0.14285714 0.00000000 5
7 6046.75082386 0.17287295 0.14285714 0.00000000 5
8 5971.14558257 0.17676530 0.03571429 0.00000000 5
6 9110.43975335 0.17049460 0.06666667 0.00000000 3
7 6928.34960222 0.16775745 0.04761905 0.00000000 3
5 2183.66301458 0.16236262 0.10000000 0.00000000 28
6 0.00000000 0.17447205 0.00000000 0.00000000 3
5 4757.06003874 0.16770117 0.10000000 0.00000000 21
6 2773.34185796 0.16893871 0.00000000 0.00000000 28
9 14086.18088140 0.17855442 0.00000000 0.00000000 15
3 0.00000000 0.15823353 0.33333333 0.00000000 28
5 11810.51349056 0.16796416 0.10000000 0.00000000 28
6 6432.78429297 0.16891968 0.20000000 0.00000000 28
5 0.00000000 0.16718698 0.00000000 0.00000000 0
8 5763.05941120 0.17622517 0.07142857 0.00000000 0
6 2686.23541568 0.16612197 0.13333333 0.00000000 0
6 2000.49224387 0.17320243 0.00000000 0.00000000 5
5 6761.97097011 0.16697289 0.10000000 0.00000000 0
8 2887.59005717 0.17698436 0.00000000 0.00000000 20
9 1241.29478022 0.17898066 0.00000000 0.00000000 9
8 3152.16799549 0.17457361 0.03571429 0.00000000 5
4 148.50995671 0.17053338 0.00000000 0.00000000 9
6 1560.18505743 0.17144000 0.06666667 0.00000000 14
7 6186.37559468 0.17081506 0.09523810 0.00000000 28
4 1203.95646098 0.16369194 0.00000000 0.00000000 14
2 0.00000000 0.15589749 1.00000000 0.00000000 14
8 15291.23625713 0.17771852 0.03571429 0.00000000 14
7 2984.54693521 0.17233651 0.00000000 0.00000000 14
3 0.00000000 0.15816676 0.33333333 0.00000000 0
7 16049.43381990 0.17567805 0.00000000 0.00000000 14
5 4166.11474752 0.16478927 0.10000000 0.00000000 0
6 20621.48642137 0.16732690 0.06666667 0.00000000 14
4 0.00000000 0.16296256 0.16666667 0.00000000 7
7 21562.96369282 0.17201032 0.04761905 0.00000000 7
8 18936.58908342 0.16849261 0.07142857 0.00000000 7
6 702.17038060 0.16517046 0.06666667 0.00000000 7
5 1251.64067518 0.16110663 0.30000000 0.00000000 7
4 19323.06815806 0.15878647 0.50000000 0.00000000 7
8 7312.50912899 0.16985727 0.14285714 0.00000000 7
8 24787.13652821 0.17041709 0.14285714 0.00000000 7
6 5912.69395286 0.16664814 0.13333333 0.00000000 7
6 1733.25170387 0.16917696 0.06666667 0.00000000 10
5 9216.11622397 0.16355803 0.20000000 0.00000000 7
7 2330.97655683 0.17210904 0.00000000 0.00000000 10
5 17992.10652406 0.16919605 0.00000000 0.00000000 10
7 10657.91783424 0.17646367 0.00000000 0.00000000 32
4 1171.80804365 0.16893871 0.00000000 0.00000000 2
4 0.00000000 0.16473496 0.00000000 0.00000000 30
5 1720.55300036 0.17069839 0.00000000 0.00000000 32
6 4039.56561941 0.16812423 0.00000000 0.00000000 32
5 5371.42535721 0.16504320 0.00000000 0.00000000 14
5 6089.97473264 0.16410397 0.00000000 0.00000000 32
5 5270.64110511 0.16473496 0.00000000 0.00000000 32
5 896.17413420 0.16723359 0.00000000 0.00000000 9
7 0.00000000 0.17444160 0.04761905 0.00000000 7
4 0.00000000 0.16568145 0.00000000 0.00000000 7
5 3293.34718615 0.16425676 0.10000000 0.00000000 7
6 2699.68376509 0.16898631 0.06666667 0.00000000 7
7 2848.72109304 0.16899583 0.00000000 0.00000000 7
4 470.40890498 0.15995520 0.00000000 0.00000000 7
6 7886.55393267 0.16858733 0.00000000 0.00000000 7
5 1614.55403485 0.16189808 0.00000000 0.00000000 7
7 9007.54845003 0.17268383 0.00000000 0.00000000 24
6 7924.04202113 0.16853049 0.06666667 0.00000000 24
4 2876.49520528 0.16441886 0.00000000 0.00000000 24
7 2863.02715324 0.17653638 0.00000000 0.00000000 25
7 7478.02062537 0.17407708 0.04761905 0.00000000 6
6 3934.07794420 0.16862525 0.13333333 0.00000000 6
7 5535.38506779 0.17080533 0.09523810 0.00000000 6
5 13956.40009417 0.16673153 0.00000000 0.00000000 6
5 3719.21981444 0.16326420 0.10000000 0.00000000 6
7 11611.36684352 0.17169520 0.04761905 0.00000000 6
7 5145.01058200 0.17306250 0.00000000 0.00000000 10
7 15957.13635995 0.16986689 0.09523810 0.00000000 6
5 7423.21621740 0.17054308 0.20000000 0.00000000 6
6 3302.52136486 0.17207941 0.00000000 0.00000000 9
7 24549.11226340 0.17402658 0.14285714 0.00000000 20
7 8667.43802658 0.17459393 0.04761905 0.00000000 7
6 4111.18545513 0.16997280 0.13333333 0.00000000 11
8 20546.44120881 0.17599765 0.14285714 0.00000000 22
5 1804.42194626 0.16992464 0.20000000 0.00000000 11
5 3360.13362460 0.16756998 0.00000000 0.00000000 11
7 23260.81086532 0.17505253 0.04761905 0.00000000 11
6 4775.29395512 0.17156751 0.00000000 0.00000000 11
6 4249.73779363 0.17420854 0.00000000 0.00000000 11
8 22763.88059835 0.17823606 0.03571429 0.00000000 7
2 0.00000000 0.15534031 0.00000000 0.00000000 3
7 11872.64493139 0.17154788 0.09523810 0.00000000 18
7 21363.48446199 0.17188216 0.14285714 0.00000000 7
6 0.00000000 0.16942546 0.06666667 0.00000000 7
8 10258.96403440 0.17356328 0.10714286 0.00000000 5
4 18266.10476559 0.16204679 0.33333333 0.00000000 7
5 9626.45638252 0.17388531 0.00000000 0.00000000 5
6 10988.58155352 0.17443145 0.00000000 0.00000000 6
6 20628.10476559 0.16756062 0.13333333 0.00000000 6
6 867.53618685 0.16491614 0.26666667 0.00000000 6
6 4574.05007138 0.16838855 0.13333333 0.00000000 3
6 21296.47365593 0.17056248 0.20000000 0.00000000 6
6 7720.11376969 0.16614958 0.20000000 0.00000000 9
3 0.00000000 0.15563859 0.33333333 0.00000000 9
7 30777.09708130 0.16583720 0.23809524 0.00000000 9
5 1402.65691731 0.16385292 0.50000000 0.00000000 4
8 4479.14347030 0.16782317 0.28571429 0.00000000 9
9 15649.19849332 0.17428953 0.22222222 0.00000000 4
7 6249.03681563 0.16676861 0.28571429 0.00000000 4
7 6863.99613116 0.17047522 0.14285714 0.00000000 21
8 14448.12026880 0.17481784 0.03571429 0.00000000 4
4 272.24603175 0.16926290 0.00000000 0.00000000 28
4 2804.68559451 0.16478022 0.00000000 0.00000000 31
2 0.00000000 0.15181735 0.00000000 0.00000000 32
6 869.08664391 0.17434019 0.00000000 0.00000000 29
4 0.00000000 0.16637080 0.00000000 0.00000000 18
5 14278.21018039 0.16677789 0.00000000 0.00000000 3
6 2557.19580697 0.17057218 0.00000000 0.00000000 3
