Degree Betweenness Closeness Clustering Eigenvector Membership
1 0.00000000 0.00344242 0.00000000 0.00025504 127
1 0.00000000 0.00344242 0.00000000 0.00025504 127
2 0.00000000 0.00344281 0.00000000 0.00025504 127
7 55537.78499724 0.00344880 0.00000000 0.00098291 127
2 0.00000000 0.00344407 0.00000000 0.00040385 127
12 84661.38773258 0.00344982 0.12121212 0.02640502 127
1 0.00000000 0.00344242 0.00000000 0.00025504 127
1 0.00000000 0.00344242 0.00000000 0.00025504 127
3 0.00000000 0.00345037 0.00000000 0.00385747 127
33 134121.95822981 0.00345885 0.01325758 0.05494153 0
34 31682.74495844 0.00345062 0.00000000 0.00757805 127
2 0.00000000 0.00344262 0.00000000 0.00025504 127
2 3008.00000000 0.00344242 0.00000000 0.00025504 127
4 0.00000000 0.00344441 0.00000000 0.00040385 127
1 0.00000000 0.00344242 0.00000000 0.00025504 127
4 1469.05000219 0.00344342 0.00000000 0.00025973 127
3 0.00000000 0.00345381 0.00000000 0.00745323 0
11 26818.51069487 0.00344979 0.01818182 0.03384592 0
3 0.00000000 0.00344750 0.33333333 0.01175295 0
3 0.00000000 0.00345396 0.00000000 0.00760203 0
3 0.00000000 0.00344555 0.66666667 0.00040385 127
1 0.00000000 0.00344242 0.00000000 0.00025504 127
5 0.00000000 0.00344659 0.10000000 0.00267228 0
1 0.00000000 0.00344242 0.00000000 0.00025504 127
1 0.00000000 0.00344242 0.00000000 0.00025504 127
38 174115.96357956 0.00345309 0.00995733 0.01735321 127
1 0.00000000 0.00344242 0.00000000 0.00025504 127
1 0.00000000 0.00344242 0.00000000 0.00025504 127
5 0.00000000 0.00344502 0.10000000 0.00040385 127
5 6839.37776930 0.00345457 0.10000000 0.04363634 0
9 13399.89378664 0.00344407 0.00000000 0.00391701 127
2 0.00000000 0.00344324 0.00000000 0.00025504 127
2 0.00000000 0.00344407 0.00000000 0.00040385 127
19 56060.73611606 0.00344899 0.01169591 0.03189806 128
20 11332.44613150 0.00344979 0.00000000 0.00772685 0
30 303783.13395342 0.00345235 0.01149425 0.02974103 127
39 0.00000000 0.00345114 0.00000000 0.00000000 127
2 0.00000000 0.00344246 0.00000000 0.00000000 127
1 0.00000000 0.00343956 0.00000000 0.00000000 127
3 0.00000000 0.00344533 0.00000000 0.00277311 0
2 0.00000000 0.00344697 0.00000000 0.00325702 0
2 0.00000000 0.00344197 0.00000000 0.00362555 127
1 0.00000000 0.00343956 0.00000000 0.00000000 127
46 0.00000000 0.00345262 0.00289855 0.00000000 127
3 0.00000000 0.00345055 0.33333333 0.05034664 0
1 0.00000000 0.00344102 0.00000000 0.00000000 127
5 0.00000000 0.00344682 0.00000000 0.00344999 127
2 0.00000000 0.00344187 0.00000000 0.00000000 127
80 219868.80647842 0.00345659 0.00981013 0.05976806 127
13 90023.91125548 0.00345005 0.14102564 0.01742019 127
13 55182.39976469 0.00344934 0.02564103 0.02091730 127
76 104270.53681756 0.00345404 0.00070175 0.00160696 128
1 0.00000000 0.00344243 0.00000000 0.00014881 128
6 14556.90053143 0.00344396 0.06666667 0.00158071 127
1 0.00000000 0.00344243 0.00000000 0.00014881 128
1 0.00000000 0.00344243 0.00000000 0.00014881 128
3 0.00000000 0.00344760 0.00000000 0.01006540 0
3 0.00000000 0.00345487 0.00000000 0.01144441 0
50 193625.11869788 0.00345221 0.04816327 0.10015848 128
1 0.00000000 0.00344243 0.00000000 0.00014881 128
4 381.24520497 0.00344936 0.00000000 0.00422368 0
1 0.00000000 0.00344243 0.00000000 0.00014881 128
3 334.14016521 0.00344433 0.00000000 0.00014881 0
24 29658.45354093 0.00345077 0.00000000 0.03473842 127
2 0.00000000 0.00344355 0.00000000 0.00014881 127
6 13283.67236920 0.00344893 0.00000000 0.04150753 0
2 0.00000000 0.00344751 0.00000000 0.00340583 0
3 0.00000000 0.00344726 0.00000000 0.00452701 127
15 43734.04328701 0.00345269 0.04761905 0.12493829 0
1 0.00000000 0.00344243 0.00000000 0.00014881 128
18 16761.48713023 0.00345441 0.16993464 0.11911347 0
2 0.00000000 0.00344355 0.00000000 0.00014881 127
8 11281.91220049 0.00344714 0.07142857 0.04110019 128
3 0.00000000 0.00344252 0.33333333 0.00029519 127
1 0.00000000 0.00344243 0.00000000 0.00014881 128
37 51736.86082223 0.00345496 0.00000000 0.01467000 0
4 12699.30681685 0.00344443 0.00000000 0.00015010 127
1 0.00000000 0.00344243 0.00000000 0.00014881 128
1 0.00000000 0.00344243 0.00000000 0.00014881 128
1 0.00000000 0.00344243 0.00000000 0.00014881 128
80 62473.03153992 0.00345889 0.00000000 0.04065744 127
1 0.00000000 0.00344243 0.00000000 0.00014881 128
34 0.00000000 0.00345257 0.00178253 0.00000000 0
137 456313.60775523 0.00345961 0.02855303 0.15294924 0
1 0.00000000 0.00344097 0.00000000 0.00000000 0
5 1946.96702990 0.00344949 0.10000000 0.03128427 0
1 0.00000000 0.00344097 0.00000000 0.00000000 0
4 0.00000000 0.00344783 0.00000000 0.00006643 0
28 118584.35991126 0.00345714 0.06084656 0.05188284 0
11 10.00000000 0.00344648 0.00000000 0.00000000 127
5 5465.96138759 0.00344588 0.30000000 0.00498190 127
3 427.81625104 0.00345220 0.00000000 0.00000000 0
3 0.00000000 0.00344865 0.00000000 0.00500540 0
8 13784.99554897 0.00345182 0.03571429 0.00328504 0
4 0.00000000 0.00344820 0.00000000 0.01248509 0
2 0.00000000 0.00344287 0.00000000 0.00014881 127
4 0.00000000 0.00345235 0.00000000 0.00718678 0
3 99.08223623 0.00344904 0.00000000 0.01049116 0
116 229816.22607317 0.00345945 0.00569715 0.11329202 0
1 0.00000000 0.00344242 0.00000000 0.00025504 127
53 137315.51828959 0.00345825 0.01451379 0.17783177 0
16 102985.08592972 0.00345349 0.09166667 0.19403220 0
2 0.00000000 0.00342670 1.00000000 0.00000000 127
3 5.00000000 0.00342670 0.33333333 0.00000000 127
4 9.00000000 0.00343820 0.16666667 0.00000000 127
2 0.00000000 0.00341528 0.00000000 0.00000000 127
1 0.00000000 0.00340394 0.00000000 0.00000000 127
18 112771.42244655 0.00345398 0.01960784 0.01081315 0
2 0.00000000 0.00344672 0.00000000 0.00325716 0
1 0.00000000 0.00344237 0.00000000 0.00100133 0
2 0.00000000 0.00344332 0.00000000 0.00163005 0
5 5779.91571878 0.00344913 0.00000000 0.01493704 0
5 432.60297704 0.00344690 0.00000000 0.00325716 0
6 4784.02556158 0.00344962 0.00000000 0.01069376 0
2 0.00000000 0.00344482 0.00000000 0.01428816 0
2 357.67441462 0.00343982 0.00000000 0.00099027 0
37 83259.59115625 0.00345329 0.00300300 0.07123261 0
2 437.18223576 0.00344383 0.00000000 0.00659634 0
34 59819.13598437 0.00345188 0.00178253 0.04550549 127
2 0.00000000 0.00345362 0.00000000 0.01141212 0
11 71252.06825921 0.00345193 0.14545455 0.03760612 127
8 3704.13972114 0.00344321 0.03571429 0.00753463 127
213 450332.09300944 0.00346033 0.00075295 0.11739667 128
17 81329.40525472 0.00345750 0.16176471 0.25503905 0
207 357790.18949120 0.00345936 0.00056283 0.04036071 127
23 149704.92774240 0.00344824 0.04347826 0.04683450 127
7 0.00000000 0.00345656 0.09523810 0.13173619 0
3 11768.89967286 0.00344935 0.00000000 0.00044272 0
96 1930415.99759991 0.00346027 0.02061404 0.32996023 0
19 0.00000000 0.00344831 0.00000000 0.00000000 127
1 0.00000000 0.00343675 0.00000000 0.00000000 127
1 0.00000000 0.00343675 0.00000000 0.00000000 127
8 4784.63864406 0.00345355 0.00000000 0.00739863 0
17 54104.23410900 0.00345265 0.03676471 0.04146200 0
1 0.00000000 0.00343675 0.00000000 0.00000000 127
1 0.00000000 0.00343675 0.00000000 0.00000000 127
14 75954.61790349 0.00345159 0.10989011 0.02359114 0
2 0.00000000 0.00344643 0.00000000 0.00494119 127
1 0.00000000 0.00343675 0.00000000 0.00000000 127
28 21928.32397022 0.00345805 0.03439153 0.14594136 0
1 0.00000000 0.00343675 0.00000000 0.00000000 127
5 0.00000000 0.00344233 0.20000000 0.00508738 127
2 0.00000000 0.00344098 0.00000000 0.00193872 0
2 62.46904762 0.00343973 0.00000000 0.00000000 127
1 0.00000000 0.00343675 0.00000000 0.00000000 127
1 0.00000000 0.00343675 0.00000000 0.00000000 127
1 0.00000000 0.00343675 0.00000000 0.00000000 127
1 0.00000000 0.00343675 0.00000000 0.00000000 127
2 0.00000000 0.00343800 0.00000000 0.00006161 127
3 30622.48531836 0.00344586 0.00000000 0.00324711 0
7 22314.10861351 0.00344445 0.00000000 0.01127331 0
10 24015.48531836 0.00345517 0.02222222 0.03506492 0
2 0.00000000 0.00344279 0.00000000 0.00000000 0
22 81003.71105061 0.00345291 0.02164502 0.08053523 0
3 3246.76581263 0.00344194 0.00000000 0.00040828 0
4 39198.78953620 0.00344121 0.00000000 0.00440893 127
14 33004.14519186 0.00345219 0.01098901 0.00030329 0
7 10138.53212708 0.00344915 0.00000000 0.00338485 127
4 31838.23376678 0.00344427 0.00000000 0.00287211 0
4 2535.90354837 0.00344614 0.00000000 0.00285803 127
2 188.26568935 0.00344494 1.00000000 0.00043441 127
9 11585.02514115 0.00345018 0.02777778 0.00289804 127
1 0.00000000 0.00343861 0.00000000 0.00026837 127
7 0.00000000 0.00345276 0.00000000 0.03071018 127
39 72736.32329477 0.00344979 0.02159244 0.00340624 127
104 259659.38916641 0.00345593 0.01997760 0.00083132 127
9 35561.67692159 0.00345032 0.00000000 0.00565184 127
13 36364.23167853 0.00344670 0.00000000 0.01542783 127
15 14775.69479846 0.00345289 0.04761905 0.00834310 0
1 0.00000000 0.00344129 0.00000000 0.00077259 0
5 29043.83323526 0.00345044 0.00000000 0.00254112 0
17 90483.26505254 0.00345181 0.03676471 0.01516760 127
6 3103.59770122 0.00344861 0.00000000 0.00802029 128
9 7816.77959432 0.00344028 0.00000000 0.00514895 127
9 22333.47366177 0.00344832 0.13888889 0.05560246 0
4 0.00000000 0.00344575 0.00000000 0.00000000 127
28 164110.99218481 0.00345215 0.00793651 0.06540669 0
23 45406.25705632 0.00345500 0.06324111 0.02352566 0
38 336058.51481370 0.00345487 0.01849218 0.10432309 0
22 84971.44731402 0.00345241 0.02597403 0.13782365 0
4 7613.70038110 0.00345206 0.16666667 0.00000000 0
14 54342.18059316 0.00345103 0.03296703 0.04402807 0
1 0.00000000 0.00343945 0.00000000 0.00407712 0
9 25264.65479011 0.00344692 0.00000000 0.00505353 128
52 367595.22387435 0.00345395 0.02639517 0.12113279 128
36 179291.85883277 0.00345186 0.04444444 0.03071440 128
75 662096.05834573 0.00345618 0.03567568 0.10339050 128
8 24808.63051114 0.00344835 0.00000000 0.03122663 0
14 30560.94987744 0.00344988 0.07692308 0.03245589 0
2 0.00000000 0.00343830 0.00000000 0.00300551 0
6 0.00000000 0.00344457 0.00000000 0.00000000 0
6 0.00000000 0.00345087 0.00000000 0.00926998 127
1 0.00000000 0.00344862 0.00000000 0.00000000 0
1 0.00000000 0.00344862 0.00000000 0.00000000 0
8 29534.19454722 0.00344756 0.00000000 0.01017219 0
55 242269.16643610 0.00345534 0.01346801 0.09187528 0
2 0.00000000 0.00344935 0.00000000 0.01260533 0
1 0.00000000 0.00344373 0.00000000 0.00850791 0
17 39779.46951182 0.00344872 0.03676471 0.00265987 0
1 0.00000000 0.00342877 0.00000000 0.00047681 127
13 12029.17714251 0.00344669 0.00000000 0.01103662 127
4 1018.76298787 0.00344288 0.16666667 0.00047681 127
82 456235.06259009 0.00345583 0.00451671 0.09952351 0
6 7340.86710419 0.00344617 0.06666667 0.01283157 0
35 96049.73180198 0.00345501 0.02184874 0.02423132 0
11 15814.92930959 0.00345095 0.09090909 0.01119953 0
3 8874.57344914 0.00344400 0.33333333 0.00328100 127
4 559.53922000 0.00344411 0.00000000 0.00971598 0
2 0.00000000 0.00344029 0.00000000 0.00421394 127
4 5432.85431701 0.00344501 0.16666667 0.00969297 127
1 0.00000000 0.00343303 0.00000000 0.00000000 127
13 354.10094292 0.00344720 0.07692308 0.00024093 0
1 0.00000000 0.00343303 0.00000000 0.00000000 127
1 0.00000000 0.00344018 0.00000000 0.00000000 0
14 68868.47203360 0.00345177 0.01098901 0.13874607 0
1 0.00000000 0.00344100 0.00000000 0.00000000 0
11 18171.95205125 0.00345260 0.03636364 0.00640335 0
6 0.00000000 0.00344882 0.00000000 0.00000000 0
11 125927.32546588 0.00345235 0.01818182 0.05056807 127
10 21867.39222063 0.00345197 0.04444444 0.06237612 127
7 0.00000000 0.00344914 0.04761905 0.00979551 127
1 0.00000000 0.00343725 0.00000000 0.00000000 127
1 0.00000000 0.00343725 0.00000000 0.00000000 127
24 142176.52648994 0.00345253 0.00724638 0.01962856 127
24 81445.84504248 0.00345581 0.05434783 0.11847428 0
4 1826.62771092 0.00344858 0.16666667 0.01978559 0
1 0.00000000 0.00344094 0.00000000 0.00181766 127
